OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10427,50005100833,PALESTINE-WHEATLEY SENIOR HIGH,7900 HWY 70 W,PALESTINE,AR,72372,NOT AVAILABLE,(870) 581-2425
11980,50004701079,TRUMANN HIGH SCHOOL,1620 W MAIN ST,TRUMANN,AR,72472,NOT AVAILABLE,(870) 483-5301
13207,51401001145,WEST FORK MIDDLE SCHOOL,333 SCHOOL AVE,WEST FORK,AR,72774,NOT AVAILABLE,(479) 839-3342
13594,50007401030,LISA ACADEMY,21 CORPORATE HILL DR,LITTLE ROCK,AR,72205,NOT AVAILABLE,(501) 227-4942
14213,50004701506,TRUMANN INTERMEDIATE SCHOOL7-8,221 PINE AVE,TRUMANN,AR,72472,NOT AVAILABLE,(870) 483-5356
15673,51252001245,MORRILTON PRIMARY SCHOOL,410 S BRIDGE ST,MORRILTON,AR,72110,NOT AVAILABLE,(501) 354-9423
15985,50006600781,PHILLIPS COMMUNITY CAREER & TECH,2807 HWY 165,STUTTGART,AR,72160,NOT AVAILABLE,(870) 673-4201
16235,50861000572,LAKE HAMILTON PRIMARY SCHOOL,136 OAKBROOK,PEARCY,AR,71964,NOT AVAILABLE,(501) 767-9351
16406,50633001251,TILLES ELEMENTARY SCHOOL,815 N 16TH ST,FORT SMITH,AR,72901,NOT AVAILABLE,(479) 785-5606
1801,50332001578,BLYTHEVILLE HIGH SCHOOL-A NEW TECH SCHOOL,600 N TENTH ST,BLYTHEVILLE,AR,72315,NOT AVAILABLE,(870) 762-2772
3361,50789001187,LANGSTON MAGNET SCHOOL,120 CHESTNUT ST,HOT SPRINGS,AR,71901,NOT AVAILABLE,(501) 620-7821
8343,50459001355,MARGUERITE VANN ELEM. SCHOOL,2845 CARL STUART RD,CONWAY,AR,72034,NOT AVAILABLE,(501) 450-4870
40511,51443001176,WYNNE HIGH SCHOOL,800 E JACKSON ST,WYNNE,AR,72396,NOT AVAILABLE,(870) 238-5001
48533,51029001454,PLEASANT VIEW JUNIOR HIGH,5750 HORNET LN,OZARK,AR,72949,NOT AVAILABLE,(479) 997-8469
49385,50006500727,LAFAYETTE COUNTY HIGH SCHOOL,1209 ALEXANDER LN,STAMPS,AR,71860,NOT AVAILABLE,(870) 533-4464
60336,51252001242,MORRILTON SR. HIGH SCHOOL,701 E HARDING ST,MORRILTON,AR,72110,NOT AVAILABLE,(501) 354-9430
61473,50621001230,FORDYCE ELEMENTARY SCHOOLS,350 REDBUG CIR,FORDYCE,AR,71742,NOT AVAILABLE,(870) 352-2816
66298,50303000169,PEA RIDGE MIDDLE SCHOOL,1391 WESTON ST,PEA RIDGE,AR,72751,NOT AVAILABLE,(479) 451-0620
69742,51113000836,PARIS ELEMENTARY SCHOOL,401 N SCHOOL ST,PARIS,AR,72855,NOT AVAILABLE,(479) 963-3143
103399,50039001674,CSTP-CIVILIAN STUDENT TRAINING PROGRAM,16301 MISSOURI CAMP ROBINSON,NORTH LITTLE ROCK,AR,72199,NOT AVAILABLE,(501) 628-8668
103412,50042601693,HOPE ACADEMY OF NWA ELEMENTARY,14100 VAUGHN RD,BENTONVILLE,AR,72713,NOT AVAILABLE,(479) 326-7268
103442,50975001665,POLK COUNTY VIRTUAL ACADEMY,1100 E BOUNDARY AVE,MENA,AR,71953,NOT AVAILABLE,(479) 394-1710
21116,50369001197,BETHEL MIDDLE SCHOOL,5415 NORTHLAKE RD,ALEXANDER,AR,72002,NOT AVAILABLE,(501) 316-0937
21271,50900000635,WESTERN HILLS ELEM. SCHOOL,4901 WESTERN HILLS AVE,LITTLE ROCK,AR,72204,NOT AVAILABLE,(501) 447-6900
25906,50005500513,ARKANSAS ARTS ACADEMY ELEMENTARY/MIDDLE SCHOOL,2005 S 12TH ST,ROGERS,AR,72758,NOT AVAILABLE,(479) 636-2272
28245,50438000168,PYRON ELEMENTARY SCHOOL,1903 CLARK RD,CLARKSVILLE,AR,72830,NOT AVAILABLE,(479) 705-3256
81114,50002301517,NEWPORT ELEMENTARY SCHOOL,1700 COMMERCE BLVD,NEWPORT,AR,72112,NOT AVAILABLE,(870) 523-1351
81939,50633000364,HOWARD ELEMENTARY SCHOOL,1301 N 8TH ST,FORT SMITH,AR,72901,NOT AVAILABLE,(479) 783-7382
84469,51341000393,NORTHRIDGE MIDDLE SCHOOL,120 NORTHRIDGE DR,VAN BUREN,AR,72956,NOT AVAILABLE,(479) 471-3126
86923,51182000898,PRESCOTT ELEMENTARY SCHOOL,335 SCHOOL ST,PRESCOTT,AR,71857,NOT AVAILABLE,(870) 887-2514
88136,50654001231,GENTRY MIDDLE SCHOOL,1265 PIONEER LN,GENTRY,AR,72734,NOT AVAILABLE,(479) 736-2251
30634,51137000851,PIGGOTT ELEMENTARY SCHOOL,895 E MAIN,PIGGOTT,AR,72454,NOT AVAILABLE,(870) 598-2546
32837,50633000374,SPRADLING ELEMENTARY SCHOOL,4949 SPRADLING AVE,FORT SMITH,AR,72904,NOT AVAILABLE,(479) 783-8048
36482,51323001060,SWIFTON MIDDLE SCHOOL,300 ASHLEY,SWIFTON,AR,72471,NOT AVAILABLE,(870) 485-2336
91535,50306000075,R.E. BAKER ELEMENTARY SCHOOL,301 NW THIRD ST,BENTONVILLE,AR,72712,NOT AVAILABLE,(479) 254-5720
94271,50408000332,CEDARVILLE MIDDLE SCHOOL,9614 PIRATES POINT,CEDARVILLE,AR,72932,NOT AVAILABLE,(479) 474-5847
94373,50324000336,BISMARCK MIDDLE SCHOOL,11636 HWY 84,BISMARCK,AR,71929,NOT AVAILABLE,(501) 865-4888
96800,50633000370,ALBERT PIKE ELEMENTARY SCHOOL,4111 PARK AVE,FORT SMITH,AR,72903,NOT AVAILABLE,(479) 783-4506
