OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10437,40880000841,IRENE ERICKSON ELEMENTARY SCHOOL,6750 E STELLA RD,TUCSON,AZ,85730,2202,(520) 584-5000
12316,40598000494,LE PERA ELEMENTARY SCHOOL,19121 TAHBO RD,PARKER,AZ,85344,9781,(928) 662-4306
13822,40428002182,JAMAICA ELEMENTARY SCHOOL,3437 JAMAICA BLVD S,LAKE HAVASU CITY,AZ,86406,5507,(928) 854-7280
14318,40021200061,BENSON HIGH SCHOOL,360 S PATAGONIA ST,BENSON,AZ,85602,6533,(520) 720-6710
14448,40834000793,MARCOS DE NIZA HIGH SCHOOL,6000 S LAKESHORE DR,TEMPE,AZ,85283,3049,(480) 838-3200
14476,40187001675,RUDY G BOLOGNA ELEMENTARY,1625 E FRYE RD,CHANDLER,AZ,85225,5114,(480) 883-4000
15329,40019703070,NAVIT - HOLBROOK HIGH SCHOOL,455 N 8TH AVE,HOLBROOK,AZ,86025,2334,(928) 536-6232
15466,40023902533,ARTS ACADEMY AT ESTRELLA MOUNTAIN,2504 S 91ST AVE,TOLLESON,AZ,85353,8921,(623) 474-2120
15915,40625000586,CHEYENNE ELEMENTARY SCHOOL,11806 N 87TH AVE,PEORIA,AZ,85345,8125,(623) 487-5100
19102,40000301969,TERRITORIAL EARLY CHILDHOOD CENTER,1088 MAHAN LN,CHINO VALLEY,AZ,86323,8706,(928) 636-3842
19499,40429002398,CHEATHAM ELEMENTARY SCHOOL,4725 W SOUTH MOUNTAIN RD,LAVEEN,AZ,85339,7396,(602) 237-7040
232,40075202774,PCJTED - CHOLLA HIGH SCHOOL,2001 W STARR PASS BLVD,TUCSON,AZ,85713,1303,(520) 225-4000
3463,40757001561,ECHO CANYON K-8,4330 N 62ND ST,SCOTTSDALE,AZ,85251,1911,(480) 484-7500
3760,40960000988,JAMES B ROLLE SCHOOL,2711 S ENGLER AVE,YUMA,AZ,85365,3225,(928) 502-8200
3916,40382002239,INDIAN WELLS ELEMENTARY,CROSSROADS OF ROUTE 77 AND ROU,INDIAN WELLS,AZ,86031,NOT AVAILABLE,(928) 654-3622
3938,40395000310,BABOQUIVARI HIGH SCHOOL,INDIAN ROUTE 19,TOPAWA,AZ,85634,NOT AVAILABLE,(520) 719-1250
6310,40973103549,EVIT EAST APACHE JUNCTION,2525 S IRONWOOD DR,APACHE JCT,AZ,85120,7100,(480) 982-1110
40004,40906000915,ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,AZ,85053,5748,(602) 896-5000
40575,40243000179,PAPAGO SCHOOL,2013 N 36TH ST,PHOENIX,AZ,85008,3026,(602) 381-6100
40588,40150001528,DIAMONDBACK ELEMENTARY SCHOOL,2550 TESOTA WAY,BULLHEAD CITY,AZ,86442,5875,(928) 758-6858
40705,40079403055,WAVE - RIVER VALLEY HIGH SCHOOL,2250 E LAGUNA RD,MOHAVE VALLEY,AZ,86440,9493,(928) 768-2300
43444,40450000353,MADISON HEIGHTS ELEMENTARY SCHOOL,7150 N 22ND ST,PHOENIX,AZ,85020,5605,(602) 664-7800
48614,40075202977,PIMA COUNTY JTED ANNEX,4201 N MELPOMENE WAY,TUCSON,AZ,85749,9330,(520) 352-5833
60513,40340003146,SPECTRUM ELEMENTARY,2846 S SPECTRUM WAY,GILBERT,AZ,85295,6176,(480) 917-0117
61049,40880000846,GALE ELEMENTARY SCHOOL,678 S GOLLOB RD,TUCSON,AZ,85710,4506,(520) 731-4500
61667,40885003432,ESMOND STATION SCHOOL,9400 S ATTERBURY WASH WAY,TUCSON,AZ,85747,8907,(520) 879-3400
62492,40497002110,SMITH JUNIOR HIGH SCHOOL,10100 E ADOBE RD,MESA,AZ,85207,5404,(480) 472-9900
63842,40032702163,NORTH POINTE PREPARATORY,10215 N 43RD AVE,PHOENIX,AZ,85051,1025,(623) 209-0017
65154,40340001192,FINLEY FARMS ELEMENTARY,375 S COLUMBUS DR,GILBERT,AZ,85296,2101,(480) 507-1624
66541,40350002422,HIGH DESERT MIDDLE SCHOOL,4000 HIGH DESERT,GLOBE,AZ,85501,NOT AVAILABLE,(928) 402-5900
67509,40432002489,FREEDOM ELEMENTARY SCHOOL,22150 W SUNDANCE PKWY,BUCKEYE,AZ,85326,5560,(623) 327-2850
67757,40002301355,PINON ACCELERATED MIDDLE SCHOOL,1 MILE NORTH OF HWY 41,PINON,AZ,86510,NOT AVAILABLE,(928) 725-2301
68043,40079403037,WAVE - LAKE HAVASU HIGH SCHOOL,2675 PALO VERDE BLVD S,LAKE HAVASU CITY,AZ,86403,4919,(928) 854-5001
68941,40044702671,SOUTH RIDGE HIGH SCHOOL,1122 S 67TH AVE,PHOENIX,AZ,85043,4417,(623) 247-0106
69582,40960002427,RON WATSON MIDDLE SCHOOL,9851 E 28TH ST,YUMA,AZ,85365,7132,(928) 502-7400
69696,40324002389,ED PASTOR ELEMENTARY 4,985 SIXTH AVENUE,SAN LUIS,AZ,85349,NOT AVAILABLE,(928) 627-6980
100731,40034102853,VACTE - COTTONWOOD-OAK CREEK UNIFIED SCHOOL DISTRICT,830 S MAIN ST STE 2E,COTTONWOOD,AZ,86326,4622,(928) 634-7131
101316,40802000700,ST DAVID ELEMENTARY SCHOOL,70 W PATTON ST,SAINT DAVID,AZ,85630,NOT AVAILABLE,(520) 720-4781
101543,40074602864,EDUPRIZE SCHOOL,4567 W ROBERTS RD,QUEEN CREEK,AZ,85142,7511,(480) 888-1610
103260,40061503616,WEST-MEC WESTERN SCHOOL SCIENCE TECHNOLOGY,6515 W INDIAN SCHOOL RD,PHOENIX,AZ,85033,3330,(623) 249-3900
103272,40082303728,LEONA CONNECTED HIGH SCHOOL,1376 E COTTONWOOD LN,CASA GRANDE,AZ,85122,2971,(602) 396-5627
103340,40378003689,HIGLEY VIRTUAL ACADEMY,2935 S RECKER RD,GILBERT,AZ,85295,7846,(480) 279-7000
103354,40503003686,MIAMI VIRTUAL PROGRAM,4739 E RAGUS RD,MIAMI,AZ,85539,8504,(928) 425-3271
106994,40097703580,THE FRENCH AMERICAN ACADEMY OF ARIZONA,2222 S PRICE RD,TEMPE,AZ,85282,3013,(480) 334-9608
106995,40101003725,LIBERTY LEADERSHIP ACADEMY,MAIN STREET AND BIRCH,COTTONWOOD,AZ,86326,NOT AVAILABLE,(602) 796-7315
20492,40497000553,BUSH ELEMENTARY,4925 E INGRAM ST,MESA,AZ,85205,3314,(480) 472-8500
21374,40406001161,KAYENTA MIDDLE SCHOOL,NORTH U.S. HIGHWAY 163,KAYENTA,AZ,86033,NOT AVAILABLE,(928) 697-2203
21570,40757000662,TAVAN ELEMENTARY SCHOOL,4610 E OSBORN RD,PHOENIX,AZ,85018,6018,(480) 484-3500
