OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
16470,100019000055,SOUTH DOVER ELEMENTARY SCHOOL,955 SOUTH STATE STREET,DOVER,DE,19901,4177,(302) 672-1690
40572,100108000344,MISPILLION ELEMENTARY,311 LOVERS LANE,MILFORD,DE,19963,2699,(302) 424-5800
47844,100018000044,MAJOR GEORGE S. WELCH ELEMENTARY SCHOOL,3100 HAWTHORNE DRIVE,DOVER,DE,19901,5391,(302) 674-9080
60349,100020000210,DELAWARE SCHOOL FOR THE DEAF,630 EAST CHESTNUT HILL ROAD,NEWARK,DE,19713,1814,(302) 454-2301
63214,100017000140,MILTON ELEMENTARY SCHOOL,512 FEDERAL STREET,MILTON,DE,19968,NOT AVAILABLE,(302) 684-2516
101312,100020000227,PYLE (SARAH) ACADEMY,501 NORTH LOMBARD STREET,WILMINGTON,DE,19801,4499,(302) 429-4158
27933,100130000315,RICHEY ELEMENTARY SCHOOL,105 EAST HIGHLAND AVENUE,WILMINGTON,DE,19804,2700,(302) 992-5535
87033,100023000204,CASTLE HILLS ELEMENTARY SCHOOL,502 MOORES LANE,NEW CASTLE,DE,19720,3499,(302) 323-2915
89229,100023000208,BEDFORD (GUNNING) MIDDLE SCHOOL,801 COX NECK ROAD,NEW CASTLE,DE,19720,5705,(302) 832-6280
30834,100008000014,MEREDITH (EVERETT) MIDDLE SCHOOL,504 SOUTH BROAD STREET,MIDDLETOWN,DE,19709,1196,(302) 378-5001
91089,100185000193,WOODBRIDGE EARLY CHILDHOOD EDUCATION CENTER,400 GOVERNORS AVE,GREENWOOD,DE,19950,2007,(302) 349-4010
92346,100128000297,HOWARD HIGH SCHOOL OF TECHNOLOGY,401 EAST 12TH STREET,WILMINGTON,DE,19801,3400,(302) 571-5400
99057,100005400362,FIRST STATE MONTESSORI ACADEMY,,WILMINGTON,DE,19801,NOT AVAILABLE,(302) 576-1500
51171,100153000156,SEAFORD MIDDLE SCHOOL,500 EAST STEIN HIGHWAY,SEAFORD,DE,19973,1528,(302) 629-4587
51538,100027000080,DELMAR HIGH SCHOOL,200 NORTH EIGHTH STREET,DELMAR,DE,19940,1399,(302) 846-9544
55147,100020000233,BANCROFT SCHOOL (THE),700 NORTH LOMBARD STREET,WILMINGTON,DE,19801,4299,(302) 429-4102
70220,100130000270,CONRAD SCHOOLS OF SCIENCE,201 JACKSON AVENUE,WILMINGTON,DE,19804,2199,(302) 992-5545
76678,100019000054,KENT COUNTY COMMUNITY SCHOOL,65-1 CARVER ROAD,DOVER,DE,19904,NOT AVAILABLE,(302) 672-1960
43056,100008000024,MIDDLETOWN HIGH SCHOOL,120 SILVER LAKE ROAD,MIDDLETOWN,DE,19709,1494,(302) 376-4141
65836,100068000087,SELBYVILLE MIDDLE SCHOOL,80 BETHANY RD.,SELBYVILLE,DE,19975,0230,(302) 436-1020
55522,100153000155,SEAFORD CENTRAL ELEMENTARY SCHOOL,1 DELAWARE PLACE,SEAFORD,DE,19973,1434,(302) 629-4587
95238,100008000332,CEDAR LANE ELEMENTARY SCHOOL,1259 CEDAR LANE ROAD,MIDDLETOWN,DE,19709,9636,(302) 378-5045
104607,100130000389,RED CLAY EARLY YEARS PROGRAM,1621 TELEGRAPH ROAD,WILMINGTON,DE,19804,4198,(302) 651-2709
19559,100020000010,DOUGLASS SCHOOL,1800 PROSPECT ROAD,WILMINGTON,DE,19805,4120,(302) 429-4146
19584,100130000269,DUPONT (H.B.) MIDDLE SCHOOL,735 MEETING HOUSE ROAD,HOCKESSIN,DE,19707,9245,(302) 239-3420
77034,100108000345,MILFORD CENTRAL ACADEMY,1021 N WALNUT STREET,MILFORD,DE,19963,1298,(302) 430-7900
79310,100001100091,SUSSEX ACADEMY,21150 AIRPORT ROAD,GEORGETOWN,DE,19947,NOT AVAILABLE,(302) 856-3636
21612,100130000274,MCKEAN (THOMAS) HIGH SCHOOL,301 MCKENNAN'S CHURCH ROAD,WILMINGTON,DE,19808,1398,(302) 992-5520
101792,100008000339,BUNKER HILL ELEMENTARY SCHOOL,1070 BUNKER HILL ROAD,MIDDLETOWN,DE,19709,NOT AVAILABLE,(302) 378-5135
28495,100108000002,MORRIS (EVELYN I.) EARLY CHILDHOOD,8609 THIRD STREET,LINCOLN,DE,19960,9998,(302) 422-1650
60276,100185000370,PHILLIS WHEATLEY ELEMENTARY SCHOOL,48 CHURCH STREET,BRIDGEVILLE,DE,19933,NOT AVAILABLE,(302) 337-3469
33087,100130000248,RICHARDSON PARK LEARNING CENTER,99 MIDDLEBORO ROAD,WILMINGTON,DE,19804,1600,(302) 992-5574
36382,100124000243,DUPONT (PIERRE S.) MIDDLE SCHOOL,701 WEST 34TH STREET,WILMINGTON,DE,19802,2699,(302) 762-7146
14623,100079000095,LAKE FOREST HIGH SCHOOL,5407 KILLENS POND ROAD,FELTON,DE,19943,9259,(302) 284-9291
14819,100018000038,ALLEN FREAR ELEMENTARY SCHOOL,238 SORGHUM MILL ROAD,CAMDEN,DE,19934,NOT AVAILABLE,(302) 697-3279
41541,100017000029,CAPE HENLOPEN HIGH SCHOOL,1250 KINGS HIGHWAY,LEWES,DE,19958,1798,(302) 645-7711
47343,100005200346,GATEWAY LAB SCHOOL,2501 CENTERVILLE ROAD,WILMINGTON,DE,19808,NOT AVAILABLE,(302) 633-4091
65105,100005000342,LAS AMERICAS ASPIRA ACADEMY,326 RUTHAR DRIVE,NEWARK,DE,19711,8017,(302) 292-1463
53703,100005900372,FREIRE CHARTER SCHOOL,,WILMINGTON,DE,19801,NOT AVAILABLE,(302) 407-4800
32572,100017000030,H. O. BRITTINGHAM ELEMENTARY SCHOOL,400 MULBERRY STREET,MILTON,DE,19968,1628,(302) 684-8522
34133,100185000073,WOODBRIDGE MIDDLE SCHOOL,307 LAWS STREET,BRIDGEVILLE,DE,19933,1034,(302) 337-8289
39678,100130000264,BALTZ (AUSTIN D.) ELEMENTARY SCHOOL,1500 SPRUCE AVENUE,WILMINGTON,DE,19805,NOT AVAILABLE,(302) 992-5560
15754,100128000181,ST. GEORGES TECHNICAL HIGH SCHOOL,555 HYETTS CORNER RD.,MIDDLETOWN,DE,19709,NOT AVAILABLE,(302) 449-3360
15817,100008000225,APPOQUINIMINK HIGH SCHOOL,1080 BUNKER HILL ROAD,MIDDLETOWN,DE,19709,NOT AVAILABLE,(302) 449-3840
17581,100001500112,NEWARK CHARTER SCHOOL,200 MCINTIRE DRIVE,NEWARK,DE,19711,NOT AVAILABLE,(302) 369-2001
9972,100130000262,HERITAGE ELEMENTARY SCHOOL,2815 HIGHLANDS LANE,WILMINGTON,DE,19808,3634,(302) 454-3424
21611,100130000275,DICKINSON (JOHN) SCHOOL,1801 MILLTOWN ROAD,WILMINGTON,DE,19808,4099,(302) 992-5500
92429,100020000316,WEST PARK PLACE ELEMENTARY SCHOOL,193 WEST PARK PLACE,NEWARK,DE,19711,4520,(302) 454-2290
33720,100124000242,BRANDYWINE HIGH SCHOOL,1400 FOULK ROAD,WILMINGTON,DE,19803,2794,(302) 479-1600
12584,100020000312,GALLAHER (ROBERT S.) ELEMENTARY SCHOOL,800 NORTH BROWNLEAF ROAD,NEWARK,DE,19713,3300,(302) 454-2464
28018,100002400256,CHARTER SCHOOL OF NEW CASTLE,170 LUKENS DRIVE,NEW CASTLE,DE,19720,NOT AVAILABLE,(302) 324-8901
52994,100153000155,SEAFORD CENTRAL ELEMENTARY SCHOOL,1 DELAWARE PLACE,SEAFORD,DE,19973,1434,(302) 629-4587
53410,100068000384,INDIAN RIVER INTENSIVE LEARNING CENTER,31 HOSIER STREET,SELBYVILLE,DE,19975,NOT AVAILABLE,(302) 732-3800
55247,100130000276,DUPONT (ALEXIS I.) HIGH SCHOOL,50 HILLSIDE ROAD,WILMINGTON,DE,19807,2297,(302) 651-2626
65835,100018000018,KENT ELEMENTARY INTENSIVE LEARNING CENTER,5 OLD NORTH ROAD,CAMDEN,DE,19934,1247,(302) 697-3504
78634,100108000109,ROSS (LULU M.) ELEMENTARY SCHOOL,310 LOVERS LANE,MILFORD,DE,19963,2699,(302) 422-1640
80694,100108000345,MILFORD CENTRAL ACADEMY,1021 N WALNUT STREET,MILFORD,DE,19963,1298,(302) 430-7900
89226,100124000293,HANBY ELEMENTARY SCHOOL,2523 BERWYN ROAD,WILMINGTON,DE,19810,NOT AVAILABLE,(302) 479-2220
89230,100020000221,MCVEY (JOSEPH M.) ELEMENTARY SCHOOL,908 JANICE DRIVE,NEWARK,DE,19713,4099,(302) 454-2145
89232,100017000304,SUSSEX CONSORTIUM,520 DUPONT AVENUE,LEWES,DE,19958,1239,(302) 645-7210
104599,100006300387,SUSSEX MONTESSORI SCHOOL,3029 BOWLERAMA DRIVE,NEW CASTLE,DE,19720,NOT AVAILABLE,(302) 404-5367
26065,100023000197,WILMINGTON MANOR ELEMENTARY SCHOOL,200 EAST ROOSEVELT AVENUE,NEW CASTLE,DE,19720,3399,(302) 323-2901
4534,100017000382,LOVE CREEK ELEMENTARY SCHOOL,19488 JOHN J. WILLIAMS HWY,LEWES,DE,19958,NOT AVAILABLE,(302) 703-3456
8277,100130000104,BRANDYWINE SPRINGS SCHOOL,2916 DUNCAN ROAD,WILMINGTON,DE,19808,NOT AVAILABLE,(302) 636-5681
57825,100005300359,ACADEMIA ANTONIA ALONSO,4403 LANCASTER PIKE,WILMINGTON,DE,19805,NOT AVAILABLE,(302) 351-8200
83139,100001000079,EDISON (THOMAS A.) CHARTER SCHOOL,2200 NORTH LOCUST STREET,WILMINGTON,DE,19802,NOT AVAILABLE,(302) 778-1101
84646,100128000296,HODGSON (PAUL M.) VOCATIONAL TECHNICAL HIGH SCHOOL,2575 GLASGOW AVENUE,NEWARK,DE,19702,4756,(302) 834-0990
104605,100018000395,DAVID E. ROBINSON ELEMENTARY SCHOOL,1038 BRIARBUSH ROAD,MAGNOLIA,DE,19962,NOT AVAILABLE,(302) 698-4800
51169,100027000078,DELMAR MIDDLE SCHOOL,200 NORTH EIGHTH STREET,DELMAR,DE,19940,1399,(302) 846-9544
