OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10534,120018003683,PARK TRAILS ELEMENTARY SCHOOL,10700 TRAILS END,PARKLAND,FL,33076,4400,(754) 322-7800
10540,120105001118,LAKE HILLS SCHOOL,909 S LAKESHORE BLVD,HOWEY IN THE HILLS,FL,34737,3906,(352) 324-3175
11221,120144007712,OCVS VIRTUAL INSTRUCTION PROGRAM,1600 SILVER STAR RD,ORLANDO,FL,32804,3442,(407) 317-3327
11310,120039000417,FLAGAMI ELEMENTARY SCHOOL,920 SW 76TH AVE,MIAMI,FL,33144,4430,(305) 261-2031
11972,120177002481,NORTHPORT K-8 SCHOOL,250 NW FLORESTA DR,PORT ST LUCIE,FL,34983,8601,(772) 340-4700
12084,120018002491,RIVERSIDE ELEMENTARY SCHOOL,11450 RIVERSIDE DR,CORAL SPRINGS,FL,33071,8154,(754) 322-8250
13441,120018000186,MARGATE MIDDLE SCHOOL,500 NW 65TH AVE,MARGATE,FL,33063,4425,(754) 322-3800
13445,120123001217,ANNA MARIA ELEMENTARY SCHOOL,4700 GULF DR,HOLMES BEACH,FL,34217,1894,(941) 708-5525
13446,120126002767,HARBOUR VIEW ELEMENTARY SCHOOL,8445 SE 147TH PL,SUMMERFIELD,FL,34491,3327,(352) 671-6110
13597,120144001389,DILLARD STREET ELEMENTARY,311 N DILLARD ST,WINTER GARDEN,FL,34787,2846,(407) 877-5000
14793,120024000298,LEMON BAY HIGH SCHOOL,2201 PLACIDA RD,ENGLEWOOD,FL,34224,5207,(941) 629-4552
16101,120123002842,EASTER SEALS,350 BRADEN AVE,SARASOTA,FL,34243,2001,(941) 355-7637
16484,120192002267,OSTEEN ELEMENTARY SCHOOL,500 DOYLE RD,OSTEEN,FL,32764,9621,(407) 328-5500
16773,120147008352,MATER BRIGHTON LAKES,3200 PLEASANT HILL RD,KISSIMMEE,FL,34746,3067,(407) 931-0325
17525,120039000406,CHARLES R DREW K-8 CENTER,1775 NW 60TH ST,MIAMI,FL,33142,2483,(305) 691-8021
18492,120150003909,EVERGLADES PREPARATORY ACADEMY,360 E MAIN ST BLDG C,PAHOKEE,FL,33476,1800,(561) 924-3002
18557,120033007759,COLLIER VIRTUAL INSTRUCTION PROGRAM,3710 ESTEY AVE,NAPLES,FL,34104,4405,(239) 377-9703
1393,120159004441,BERKLEY ELEMENTARY SCHOOL,5240 BERKLEY RD,AUBURNDALE,FL,33823,8491,(863) 968-5024
1536,120039008574,PINECREST GLADES ACADEMY,15250 SW EIGHTH ST,MIAMI,FL,33194,2623,(305) 229-6949
1899,120042003350,HOSPITAL AND HOMEBOUND,494 N MANATEE AVE,ARCADIA,FL,34266,4043,(863) 494-0261
2513,120018002701,CENTRAL PARK ELEMENTARY SCHOOL,777 N NOB HILL RD,PLANTATION,FL,33324,1028,(754) 322-5700
3009,120039006173,MATER ACADEMY LAKES MIDDLE SCHOOL,17300 NW 87TH AVE,HIALEAH,FL,33015,3516,(305) 512-3917
3138,120111001193,FAIRVIEW MIDDLE SCHOOL,3415 ZILLAH ST,TALLAHASSEE,FL,32305,0334,(850) 488-6880
3631,120048003361,TWIN LAKES ACADEMY MIDDLE SCHOOL,8050 POINT MEADOWS DR,JACKSONVILLE,FL,32256,7011,(904) 538-0825
4250,120039007608,MIAMI COMMUNITY CHARTER HIGH SCHOOL,18720 SW 352ND ST,FLORIDA CITY,FL,33034,4580,(786) 601-8003
4330,120111001178,SAIL,2006 JACKSON BLUFF RD,TALLAHASSEE,FL,32304,4018,(850) 488-2468
5369,120159001725,DAVENPORT SCHOOL OF THE ARTS,4751 COUNTY ROAD 547 N,DAVENPORT,FL,33837,8708,(863) 420-2557
5539,120048002161,TEEN PARENT SERVICE CENTER,129 KING ST,JACKSONVILLE,FL,32204,2409,(904) 858-6360
6229,120090008604,BONIFAY K-8 SCHOOL,140 BLUE DEVIL DR,BONIFAY,FL,32425,2553,(850) 547-3631
6416,120066008587,GLADES VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED),400 10TH ST SW,MOORE HAVEN,FL,33471,NOT AVAILABLE,(863) 946-2083
6418,120144008613,WINDERMERE HIGH,5523 WINTER GARDEN VINELAND RD,WINDERMERE,FL,34786,6097,(407) 347-0980
7393,120147008034,OSCEOLA VIRTUAL INSTRUCTION (COURSE OFFERINGS),1200 VERMONT AVE,ST CLOUD,FL,34769,NOT AVAILABLE,(407) 870-4847
