OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10578,191266001402,GLADBROOK-REINBECK JR. HIGH & HIGH SCHOOL,600 BLACKHAWK STREET,REINBECK,IA,50669,NOT AVAILABLE,(319) 345-2921
16503,190507000154,BONDURANT-FARRAR HIGH SCHOOL,1000 GRANT ST. NORTH,BONDURANT,IA,50035,NOT AVAILABLE,(515) 957-8191
6477,193051002249,RADIANT ELEMENTARY SCHOOL,5050 170TH ST,URBANDALE,IA,50323,NOT AVAILABLE,(515) 987-5161
7659,190738000346,CLARION-GOLDFIELD-DOWS ELEMENTARY SCHOOL,319 3RD AVE NE,CLARION,IA,50525,1113,(515) 532-2873
9371,190759000359,CLEAR CREEK ELEMENTARY SCHOOL,230 W WILSON,OXFORD,IA,52322,0488,(319) 828-4505
40143,190822000414,CRESCENT ELEMENTARY SCHOOL,401 E WELCH ST,CRESCENT,IA,51526,NOT AVAILABLE,(712) 545-3697
40154,191914001130,MID-PRAIRIE EAST ELEM. SCHOOL,702 6TH ST,KALONA,IA,52247,NOT AVAILABLE,(319) 656-2243
41986,193201001867,WOODWARD-GRANGER ELEMENTARY SCHOOL,2002 OAK STREET,GRANGER,IA,50109,NOT AVAILABLE,(515) 999-2357
42006,190654000213,JACKSON ELEMENTARY SCHOOL,1300 38TH ST NW,CEDAR RAPIDS,IA,52405,NOT AVAILABLE,(319) 558-2471
42035,191914001130,MID-PRAIRIE EAST ELEM. SCHOOL,702 6TH ST,KALONA,IA,52247,9487,(319) 656-2243
45607,191470000897,NORTHWEST JUNIOR HIGH SCHOOL,1507 8TH ST,CORALVILLE,IA,52241,NOT AVAILABLE,(319) 688-1060
46799,192682001570,MITCHELLVILLE ELEMENTARY,308 ELM AVE NW,MITCHELLVILLE,IA,50169,NOT AVAILABLE,(515) 967-4274
47494,192100001260,NORTH TAMA ELEMENTARY,605 WALNUT,TRAER,IA,50675,NOT AVAILABLE,(319) 478-2265
49202,192334001378,JOHN R MOTT JR/HI SCHOOL,314 W POST,POSTVILLE,IA,52162,0717,(563) 864-7652
60282,191803001964,LYNNVILLE-SULLY ELEMENTARY SCHOOL,12476 HWY F62 E,SULLY,IA,50251,NOT AVAILABLE,(641) 594-4445
62361,192211002185,LIBERTY ELEMENTARY SCHOOL,50 TRAXLER DRIVE,OTTUMWA,IA,52501,NOT AVAILABLE,(641) 682-4502
64132,192496001431,ROCKFORD JUNIOR-SENIOR ROCKFORD SENIOR HIGH,1460 210TH STREET?,ROCKFORD,IA,50468,0218,(641) 756-3813
64437,190858001977,NORTH HIGH SCHOOL,626 W 53RD ST,DAVENPORT,IA,52806,NOT AVAILABLE,(563) 723-5500
100340,190738000348,CLARION-GOLDFIELD-DOWS MIDDLE SCHOOL,300 3RD AVE NE,CLARION,IA,50525,1113,(515) 532-2412
101038,193102001806,WEST LYON ELEMENTARY SCHOOL,1787 182ND STREET,INWOOD,IA,51240,7702,(712) 753-4917
101770,191872001084,B R MILLER MIDDLE SCHOOL,125 S 11TH ST,MARSHALLTOWN,IA,50158,NOT AVAILABLE,(641) 754-1110
101976,190861000059,DAVIS COUNTY ELEMENTARY,500 E NORTH ST,BLOOMFIELD,IA,52537,NOT AVAILABLE,(641) 664-2200
21003,190315000009,ADM SENIOR HIGH SCHOOL,801 NILE KINNICK DR S,ADEL,IA,50003,NOT AVAILABLE,(515) 993-4584
