OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
13507,220090000727,WEST THIBODAUX MIDDLE SCHOOL,1111 EAST TWELFTH STREET,THIBODAUX,LA,70301,NOT AVAILABLE,(985) 446-6889
14097,220165000412,FONTAINEBLEAU HIGH SCHOOL,100 BULLDOG DRIVE,MANDEVILLE,LA,70471,NOT AVAILABLE,(985) 892-7112
14404,220087000677,LAFAYETTE MIDDLE SCHOOL,1301 WEST UNIVERSITY AVENUE,LAFAYETTE,LA,70506,NOT AVAILABLE,(337) 521-7900
16644,220054000411,PARKVIEW ELEMENTARY SCHOOL,5660 PARK FOREST,BATON ROUGE,LA,70816,NOT AVAILABLE,(225) 293-5615
17068,220153001488,EAST ST. JOHN HIGH SCHOOL,#1 WILDCAT DRIVE,RESERVE,LA,70084,NOT AVAILABLE,(985) 536-4226
17882,220180001661,NORTH VERMILION HIGH SCHOOL,11609 LA HIGHWAY 699,MAURICE,LA,70555,NOT AVAILABLE,(337) 898-1491
1984,220165001292,SALMEN HIGH SCHOOL,300 SPARTAN DRIVE,SLIDELL,LA,70458,NOT AVAILABLE,(985) 643-7359
2136,220192001463,PORT ALLEN ELEMENTARY SCHOOL,609 ROSEDALE STREET,PORT ALLEN,LA,70767,NOT AVAILABLE,(225) 343-7586
3353,220087000680,GREEN T. LINDON ELEMENTARY SCHOOL,603 AVENUE B,YOUNGSVILLE,LA,70592,NOT AVAILABLE,(337) 521-7720
7544,220051000337,STANLEY HIGH SCHOOL,14323 HWY. 84,LOGANSPORT,LA,71049,NOT AVAILABLE,(318) 697-2664
8853,220090000702,CUT OFF ELEMENTARY SCHOOL,177 WEST 55TH STREET,CUT OFF,LA,70345,NOT AVAILABLE,(985) 632-3116
9272,220003000015,MERMENTAU ELEMENTARY SCHOOL,405 CHURCH STREET,MERMENTAU,LA,70556,0250,(337) 824-1943
40609,220168001310,KENTWOOD HIGH MAGNET SCHOOL,603 9TH STREET,KENTWOOD,LA,70444,NOT AVAILABLE,(985) 229-2881
46809,220120000993,KIROLI ELEMENTARY SCHOOL,700 KIROLI ROAD,WEST MONROE,LA,71291,NOT AVAILABLE,(318) 396-1118
49451,220012000053,LABADIEVILLE PRIMARY SCHOOL,3045 HWY 1,LABADIEVILLE,LA,70372,NOT AVAILABLE,(985) 526-8220
63375,220174001366,SOUTHDOWN ELEMENTARY SCHOOL,1124 ST. CHARLES STREET,HOUMA,LA,70360,NOT AVAILABLE,(985) 872-9429
64146,220120001683,RICHWOOD JUNIOR HIGH SCHOOL,5901 HIGHWAY 165 S,MONROE,LA,71202,NOT AVAILABLE,(318) 432-2000
67486,220183001407,EVANS HIGH SCHOOL,HIGHWAY 111,EVANS,LA,70639,NOT AVAILABLE,(337) 286-5289
105075,220030902475,OPPORTUNITIES ACADEMY,2625 THALIA ST.,NEW ORLEANS,LA,70113,NOT AVAILABLE,(504) 503-1421
105099,220084002478,YOUNG AUDIENCES CHARTER HIGH SCHOOL,418 4TH STREET,GRETNA,LA,70053,NOT AVAILABLE,(504) 304-6332
20403,220162001249,LAGRANGE ELEMENTARY SCHOOL,2129 CHATSWORTH ROAD,FRANKLIN,LA,70538,9738,(337) 828-1991
22385,220165001277,FIFTH WARD JUNIOR HIGH SCHOOL,81419 HIGHWAY 21,BUSH,LA,70431,NOT AVAILABLE,(985) 886-3273
23136,220033000237,SAM HOUSTON HIGH SCHOOL,880 S H JONES PARKWAY,LAKE CHARLES,LA,70611,NOT AVAILABLE,(337) 217-4480
23300,220051000334,MANSFIELD HIGH SCHOOL,401 KINGS HIGHWAY,MANSFIELD,LA,71052,NOT AVAILABLE,(318) 872-0793
24758,220030000187,PINE GROVE ELEMENTARY SCHOOL,1700 CALDWELL STREET,SHREVEPORT,LA,71107,NOT AVAILABLE,(318) 424-7191
25569,220006000027,KINDER HIGH SCHOOL,145 HWY 383,KINDER,LA,70648,NOT AVAILABLE,(337) 738-2886
26426,220054000441,WESTDALE HEIGHTS ACADEMIC MAGNET SCHOOL,2000 COLLEGE DRIVE,BATON ROUGE,LA,70808,NOT AVAILABLE,(225) 926-5421
80351,220162001255,PATTERSON JUNIOR HIGH SCHOOL,225 CATHERINE STREET,PATTERSON,LA,70392,1916,(985) 395-6772
82021,220063000471,BAYOU CHICOT ELEMENTARY SCHOOL,4576 HIGHWAY 167 NORTH,VILLE PLATTE,LA,70586,NOT AVAILABLE,(337) 461-2687
82910,220018000083,EAST BEAUREGARD HIGH SCHOOL,5364 HIGHWAY 113,DERIDDER,LA,70634,NOT AVAILABLE,(337) 328-7512
85898,220033000223,COLLEGE OAKS ELEMENTARY SCHOOL,3618 ERNEST STREET,LAKE CHARLES,LA,70605,NOT AVAILABLE,(337) 217-4560
87446,220129001055,ARTHUR F. SMITH MIDDLE MAGNET SCHOOL,3100 JONES STREET,ALEXANDRIA,LA,71302,NOT AVAILABLE,(318) 445-6241
87469,220102002315,SOUTH FORK ELEMENTARY SCHOOL,23000 WALKER ROAD SOUTH,DENHAM SPRINGS,LA,70726,NOT AVAILABLE,(225) 665-0446
87659,220096000738,LASALLE JUNIOR HIGH SCHOOL,5960 TANNEHILL DRIVE,URANIA,LA,71480,NOT AVAILABLE,(318) 495-3474
89053,220033000236,HENRY HEIGHTS ELEMENTARY SCHOOL,3600 LOUISIANA AVENUE,LAKE CHARLES,LA,70607,NOT AVAILABLE,(337) 217-4620
31771,220054000383,HIGHLAND ELEMENTARY SCHOOL,280 SUNSET BLVD,BATON ROUGE,LA,70808,NOT AVAILABLE,(225) 766-1272
31787,220072002078,MAGNOLIA ELEMENTARY,3116 EAST ADMIRAL DOYLE DRIVE,NEW IBERIA,LA,70560,NOT AVAILABLE,(337) 369-6120
32055,220108000798,ROY NEAL SHELLING SR. ELEMENTARY,4200 ELM STREET,MONROE,LA,71203,NOT AVAILABLE,(318) 322-9533
35423,220054000376,GLEN OAKS PARK ELEMENTARY SCHOOL,5656 LANIER DRIVE,BATON ROUGE,LA,70812,NOT AVAILABLE,(225) 356-4521
36948,220153002281,EMILY C. WATKINS ELEMENTARY,938 LA HIGHWAY 628,LAPLACE,LA,70068,NOT AVAILABLE,(985) 652-1593
37656,220180001568,RENE A. ROST MIDDLE SCHOOL,112 WEST SIXTH STREET,KAPLAN,LA,70548,NOT AVAILABLE,(337) 643-8545
38866,220009001541,DUTCHTOWN HIGH SCHOOL,13165 HWY 73,GEISMAR,LA,70734,NOT AVAILABLE,(225) 391-6200
91078,220021000095,GIBSLAND-COLEMAN HIGH SCHOOL,10TH STREET,GIBSLAND,LA,71028,NOT AVAILABLE,(318) 843-6247
99939,220156001203,OPELOUSAS JUNIOR HIGH SCHOOL,730 SOUTH MARKET STREET,OPELOUSAS,LA,70570,NOT AVAILABLE,(337) 942-4957
51269,220165001266,BAYOU LACOMBE MIDDLE SCHOOL,27527 ST. JOSEPH,LACOMBE,LA,70445,NOT AVAILABLE,(985) 882-5416
51624,220159001231,TECHE ELEMENTARY SCHOOL,2439 MAIN HWY.,BREAUX BRIDGE,LA,70517,NOT AVAILABLE,(337) 667-6400
53099,220087001556,OSSUN ELEMENTARY SCHOOL,400 RUE SCHOLASTIQUE,LAFAYETTE,LA,70507,NOT AVAILABLE,(337) 521-7770
57247,220117002438,ELAN ACADEMY CHARTER SCHOOL,709 PARK BLVD,NEW ORLEANS,LA,70114,NOT AVAILABLE,(504) 619-9720
57602,220029100945,ELEANOR MCMAIN SECONDARY SCHOOL,5712 SOUTH CLAIBORNE AVENUE,NEW ORLEANS,LA,70125,NOT AVAILABLE,(504) 324-7500
59259,220183001847,ANACOCO ELEMENTARY SCHOOL,4726 PORT ARTHUR AVENUE,ANACOCO,LA,71403,NOT AVAILABLE,(337) 239-3040
59725,220153000427,JOHN L. ORY COMMUNICATIONS MAGNET ELEMENTARY,182 WEST FIFTH STREET,LAPLACE,LA,70068,NOT AVAILABLE,(985) 651-3700
59860,220054002069,SCOTLANDVILLE PRE-ENGINEERING ACADEMY,9147 ELM GROVE GARDEN,BATON ROUGE,LA,70807,NOT AVAILABLE,(225) 775-0776
70193,220045000312,HOMER JUNIOR HIGH SCHOOL,612 PELICAN DRIVE,HOMER,LA,71040,NOT AVAILABLE,(318) 927-2826
70568,220102001720,GRAY'S CREEK ELEMENTARY SCHOOL,11400 LA HWY 1033,DENHAM SPRINGS,LA,70726,NOT AVAILABLE,(225) 667-1808
72313,220129001052,MARY GOFF ELEMENTARY SCHOOL,6900 SHREVEPORT HIGHWAY,PINEVILLE,LA,71360,NOT AVAILABLE,(318) 640-3416
73476,220063000480,W. W. STEWART ELEMENTARY SCHOOL,1032 BELTON STREET,BASILE,LA,70515,NOT AVAILABLE,(337) 432-6412
74647,220084000637,METAIRIE ACADEMY FOR ADVANCED STUDIES,201 METAIRIE ROAD,METAIRIE,LA,70005,4538,(504) 833-5539
74828,220129001943,NORTHWOOD HIGH SCHOOL,8830 HIGHWAY 1 NORTH,LENA,LA,71447,NOT AVAILABLE,(318) 793-8021
75290,220180001387,DOZIER ELEMENTARY SCHOOL,415 WEST PRIMEAUX,ERATH,LA,70533,NOT AVAILABLE,(337) 937-6915
76705,220174001339,BROADMOOR ELEMENTARY SCHOOL,1010 BROADMOOR AVENUE,HOUMA,LA,70364,NOT AVAILABLE,(985) 879-1042
77982,220084002051,L. W. RUPPEL ACADEMY FOR ADVANCED STUDIES,815 HUEY P. LONG AVENUE,GRETNA,LA,70053,NOT AVAILABLE,(504) 349-7768
55,220026302405,WILLOW CHARTER ACADEMY,1818 NORTHEAST EVANGELINE THROUGHWAY,LAFAYETTE,LA,70501,NOT AVAILABLE,(337) 534-8218
60,220084002419,JEFFERSON RISE CHARTER SCHOOL,501 LAPALCO BLVD,GRETNA,LA,70056,7304,(504) 410-5905
1075,220024902367,MILDRED OSBORNE CHARTER SCHOOL,6701 CURRAN BLVD,NEW ORLEANS,LA,70126,1719,(504) 400-0614
1076,220025000872,ESPERANZA CHARTER SCHOOL,4407 SOUTH CARROLLTON AVENUE,NEW ORLEANS,LA,70119,6823,(504) 373-6272
1081,220025402408,DEMOCRACY PREP BATON ROUGE,4055 PRESCOTT ROAD,BATON ROUGE,LA,70805,5146,(225) 372-2037
4895,220174001952,GRAND CAILLOU MIDDLE SCHOOL,2161 GRAND CAILLOU ROAD,HOUMA,LA,70363,NOT AVAILABLE,(985) 563-4488
6228,220027802436,NOBLE MINDS,1333 S. CARROLLTON AVENUE,NEW ORLEANS,LA,70114,NOT AVAILABLE,(504) 919-0451
42284,220030000202,SUNSET ACRES ELEMENTARY SCHOOL,6514 WEST CANAL BOULEVARD,SHREVEPORT,LA,71108,NOT AVAILABLE,(318) 631-7121
42291,220033000240,M. J. KAUFMAN ELEMENTARY SCHOOL,301 TEKEL ROAD,LAKE CHARLES,LA,70607,NOT AVAILABLE,(337) 217-4740
42306,220129001060,MARTIN PARK ELEMENTARY SCHOOL,4203 LISA STREET,ALEXANDRIA,LA,71302,NOT AVAILABLE,(318) 448-1695
42307,220129001072,POLAND JUNIOR HIGH SCHOOL,3348 HIGHWAY 457,ALEXANDRIA,LA,71302,NOT AVAILABLE,(318) 445-9224
43944,220054000628,CHILDREN'S CHARTER SCHOOL,1143 NORTH STREET,BATON ROUGE,LA,70802,4547,(225) 387-9273
46975,220009000041,GONZALES PRIMARY SCHOOL,521 NORTH BURNSIDE AVENUE,GONZALES,LA,70737,NOT AVAILABLE,(225) 391-6700
68088,220120001557,WEST RIDGE MIDDLE SCHOOL,6977 CYPRESS STREET,WEST MONROE,LA,71291,NOT AVAILABLE,(318) 397-8444
69076,220042000294,BLOCK HIGH SCHOOL,300 DIVISION STREET,JONESVILLE,LA,71343,NOT AVAILABLE,(318) 339-7996
51259,220018000082,DERIDDER JUNIOR HIGH SCHOOL,415 FRUSHA DRIVE,DERIDDER,LA,70634,NOT AVAILABLE,(337) 463-9083
51263,220156001182,EUNICE JUNIOR HIGH SCHOOL,751 WEST OAK STREET,EUNICE,LA,70535,NOT AVAILABLE,(337) 457-7386
51509,228010002016,WINN CORRECTIONAL CENTER,HIGHWAY 560 GUM SPRINGS ROAD,WINNFIELD,LA,71483,NOT AVAILABLE,(318) 628-3971
51951,220022400914,LAFAYETTE ACADEMY,2727 SOUTH CARROLLTON AVENUE,NEW ORLEANS,LA,70118,NOT AVAILABLE,(504) 861-8370
53442,220003000019,RAYNE HIGH SCHOOL,1016 NORTH POLK STREET,RAYNE,LA,70578,6199,(337) 334-3691
54389,220022602391,CELERITY LANIER CHARTER SCHOOL,4705 LANIER DR,BATON ROUGE,LA,70812,NOT AVAILABLE,(225) 290-1564
58655,220192001464,PORT ALLEN HIGH SCHOOL,3553 ROSEDALE ROAD,PORT ALLEN,LA,70767,NOT AVAILABLE,(225) 383-1107
