OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
12921,251113001835,WARNER,493 PARKER STREET,SPRINGFIELD,MA,1129,NOT AVAILABLE,(413) 787-7258
18073,250462000980,CENTER SCHOOL,388 DEPOT STREET,SOUTH EASTON,MA,2375,NOT AVAILABLE,(508) 230-3233
769,250799000425,COLRAIN CENTRAL,22 JACKSONVILLE RD,COLRAIN,MA,1340,NOT AVAILABLE,(413) 624-3451
1885,250330000451,CANTON HIGH,900 WASHINGTON STREET,CANTON,MA,2021,NOT AVAILABLE,(781) 821-5050
2956,250008701997,HOLYOKE COMMUNITY CHARTER SCHOOL,2200 NORTHAMPTON ST,HOLYOKE,MA,1040,NOT AVAILABLE,(413) 533-0111
3191,251146000129,MARK G HOYLE ELEMENTARY,70 COMMUNITY LANE,SWANSEA,MA,2777,NOT AVAILABLE,(508) 679-4049
4006,250858001350,FRANCIS T BRESNAHAN ELEMENTARY,333 HIGH STREET,NEWBURYPORT,MA,1950,NOT AVAILABLE,(978) 465-4431
6559,251308000804,TOY TOWN ELEMENTARY,175 GROVE STREET,WINCHENDON,MA,1475,1198,(978) 297-2005
8825,250366000491,BELLAMY MIDDLE,314 PENDLETON AVENUE,CHICOPEE,MA,1020,NOT AVAILABLE,(413) 594-3527
9449,250366000491,BELLAMY MIDDLE,314 PENDLETON AVENUE,CHICOPEE,MA,1020,NOT AVAILABLE,(413) 594-3527
42343,250246000670,BELLINGHAM EARLY CHILDHOOD CENTER,338 HARTFORD AVENUE,BELLINGHAM,MA,2019,NOT AVAILABLE,(508) 966-2512
42458,251149001900,TANTASQUA REGIONAL SR HIGH,319 BROOKFIELD RD,FISKDALE,MA,1518,NOT AVAILABLE,(508) 347-9301
42970,250483000679,SPENCER BORDEN,1400 PRESIDENT AVENUE,FALL RIVER,MA,2720,NOT AVAILABLE,(508) 675-8202
43744,250762002557,MELROSE MIDDLE,350 LYNN FELLS PARKWAY,MELROSE,MA,2176,NOT AVAILABLE,(781) 979-2100
44084,251005001618,ABRAHAM LINCOLN,68 TUCKERMAN STREET,REVERE,MA,2151,NOT AVAILABLE,(781) 286-8270
44963,250534000725,CUTTYHUNK ELEMENTARY,TOWER HILL ROAD,CUTTYHUNK,MA,2713,NOT AVAILABLE,(508) 997-5408
45632,250550000806,SWALLOW/UNION SCHOOL,522 MAIN STREET,DUNSTABLE,MA,1827,NOT AVAILABLE,(978) 649-7281
47055,250762001193,MELROSE HIGH,360 LYNN FELLS PARKWAY,MELROSE,MA,2176,NOT AVAILABLE,(781) 979-2200
49739,251323002566,JACOB HIATT MAGNET,772 MAIN STREET,WORCESTER,MA,1610,NOT AVAILABLE,(508) 799-3601
62475,250384000521,ALCOTT,93 LAUREL STREET,CONCORD,MA,1742,NOT AVAILABLE,(978) 318-9544
66222,250003000547,BENJAMIN FRANKLIN CLASSICAL CHARTER PUBLIC SCHOOL,500 FINANCIAL PARK,FRANKLIN,MA,2038,NOT AVAILABLE,(508) 541-3434
67646,250180000027,BENJAMIN J PHELPS,689 MAIN STREET,AGAWAM,MA,1001,NOT AVAILABLE,(413) 821-0587
105165,250258002912,BOYLSTON ELEMENTARY SCHOOL,200 SEWALL STREET,BOYLSTON,MA,1505,NOT AVAILABLE,(508) 869-2200
105175,250627002897,HOLYOKE STEM ACADEMY,1045 MAIN STREET,HOLYOKE,MA,1040,NOT AVAILABLE,(413) 535-0345
20677,250180000025,AGAWAM JUNIOR HIGH,1305 SPRINGFIELD STREET,FEEDING HILLS,MA,1030,NOT AVAILABLE,(413) 821-0561
20923,250828001285,NARRAGANSETT REGIONAL HIGH,464 BALDWINVILLE RD,BALDWINVILLE,MA,1436,NOT AVAILABLE,(978) 939-5388
20941,251113002743,GATEWAY TO COLLEGE AT HOLYOKE COMMUNITY COLLEGE,303 HOMESTEAD AVENUE,HOLYOKE,MA,1040,NOT AVAILABLE,(413) 552-2370
21048,251323002209,DOHERTY MEMORIAL HIGH,299 HIGHLAND STREET,WORCESTER,MA,1602,NOT AVAILABLE,(508) 799-3270
22422,250005701271,RISING TIDE CHARTER PUBLIC SCHOOL,59 ARMSTRONG ROAD,PLYMOUTH,MA,2360,NOT AVAILABLE,(508) 747-2620
25105,250960002614,NORTHFIELD ELEMENTARY,104 MAIN STREET,NORTHFIELD,MA,1360,NOT AVAILABLE,(413) 498-5842
25106,251200001967,DOUGLAS MACARTHUR ELEMENTARY SCHOOL,494 LINCOLN STREET,WALTHAM,MA,2451,NOT AVAILABLE,(781) 314-5721
25766,251017001643,ROCKLAND SENIOR HIGH,52 MACKINLAY WAY,ROCKLAND,MA,2370,NOT AVAILABLE,(781) 871-0541
80356,251158001921,HEATH-BROOK,165 SHAWSHEEN STREET,TEWKSBURY,MA,1876,NOT AVAILABLE,(978) 640-7865
