OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
12409,230956000259,PEMBROKE ELEMENTARY SCHOOL,36 U S ROUTE 1,PEMBROKE,ME,4666,NOT AVAILABLE,(207) 726-5564
13221,231179023123,BUXTON CENTER ELEMENTARY SCHOOL,912 LONG PLAINS ROAD,BUXTON,ME,4093,NOT AVAILABLE,(207) 929-3836
16569,231477600296,MARCIA BUKER SCHOOL,28 HIGH STREET,RICHMOND,ME,4357,NOT AVAILABLE,(207) 876-4301
2074,231179000538,HOLLIS SCHOOL,554 RIVER ROAD,HOLLIS,ME,4042,NOT AVAILABLE,(207) 929-3838
42469,231233000578,DYER ELEMENTARY SCHOOL,52 ALFRED STREET,SOUTH PORTLAND,ME,4106,NOT AVAILABLE,(207) 799-4845
42734,231480523133,SPRUCE MOUNTAIN MIDDLE SCHOOL,23 COMMUNITY DRIVE,JAY,ME,4239,NOT AVAILABLE,(207) 897-4319
67669,231236000588,SOUTHPORT CENTRAL SCHOOL,438 HENDRICKS HILL ROAD,SOUTHPORT,ME,4576,NOT AVAILABLE,(207) 633-3132
69283,230261000012,EAST AUBURN COMMUNITY SCHOOL,15 ANDREW DRIVE,AUBURN,ME,4210,NOT AVAILABLE,(207) 782-4142
69670,230393000108,CAPE ELIZABETH HIGH SCHOOL,345 OCEAN HOUSE ROAD,CAPE ELIZABETH,ME,4107,NOT AVAILABLE,(207) 799-3309
105137,231484023174,MAINE OCEAN SCHOOL,5 CHURCH ST,SEARSPORT,ME,4974,NOT AVAILABLE,(207) 266-8590
81454,231167000506,CRESCENT PARK SCHOOL,19 CRESCENT LANE,BETHEL,ME,4217,NOT AVAILABLE,(207) 824-2839
81558,231210000958,CONNOR CONSOLIDATED SCHOOL,1581 VAN BUREN RD,CONNOR TWP,ME,4736,NOT AVAILABLE,(207) 496-4521
83694,230732000190,LEWISTON HIGH SCHOOL,156 EAST AVENUE,LEWISTON,ME,4240,NOT AVAILABLE,(207) 795-4190
84943,231416000658,LEAVITT AREA HIGH SCHOOL,21 MATTHEWS WAY,TURNER,ME,4282,NOT AVAILABLE,(207) 225-1100
88036,231128023125,ASHLAND DISTRICT SCHOOL,180 PRESQUE ISLE RD,ASHLAND,ME,4732,NOT AVAILABLE,(207) 435-3481
35204,231137000451,CENTRAL SCHOOL,197 MAIN STREET,SOUTH BERWICK,ME,3908,NOT AVAILABLE,(207) 384-2333
91746,230489500127,DEER ISLE-STONINGTON HIGH SCH,251 NORTH DEER ISLE RD,DEER ISLE,ME,4627,NOT AVAILABLE,(207) 348-2303
56082,231476223151,HODGDON MIDDLE/HIGH SCHOOL,174 HODGDON MILLS ROAD,HODGDON,ME,4730,NOT AVAILABLE,(207) 532-2413
57619,231480723167,COMMUNITY EARLY CHILDHOOD CAMPUS,48 SOUTH FACTORY STREET,SKOWHEGAN,ME,4976,NOT AVAILABLE,(207) 474-8740
58747,230993000273,HOWARD C REICHE COMMUNITY SCH,166 BRACKETT ST,PORTLAND,ME,4102,NOT AVAILABLE,(207) 874-8175
