OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10441,260426002049,BAY CITY ADULT EDUCATIONCTP,4155 MONITOR RD,BAY CITY,MI,48706,9211,(989) 686-4770
13253,260019701106,LINDEN CHARTER ACADEMY,3244 NORTH LINDEN RD,FLINT,MI,48504,1753,(810) 720-0515
13729,261407005033,BEECHVIEW ELEMENTARY SCHOOL,26850 WESTMEATH CT,FARMINGTON HILLS,MI,48334,4889,(248) 489-3655
14446,263336008250,SUTTONS BAY VIRTUAL SCHOOL,310 ELM ST,SUTTONS BAY,MI,49682,5112,(231) 271-8685
14470,260387000730,SOUTH WALNUT ELEMENTARY SCHOOL,309 SOUTH WALNUT ST,BANGOR,MI,49013,1350,(269) 427-6863
18826,260192003923,ADDISON HIGH SCHOOL,219 NORTH COMSTOCK ST,ADDISON,MI,49220,9753,(517) 547-6900
19116,263222006748,ELMWOOD ELEMENTARY SCHOOL,22700 CALIFORNIA ST,SAINT CLAIR SHORES,MI,48080,3824,(586) 435-1101
1364,263234001188,BEACON DAY TREATMENT CENTER,12601 MCCANN ST,SOUTHGATE,MI,48195,2331,(313) 551-2790
3148,261140004573,DANSVILLE MIDDLE SCHOOL,1264 ADAMS ST,DANSVILLE,MI,48819,5100,(517) 623-6120
3238,261086004549,CORUNNA MIDDLE SCHOOL,400 NORTH COMSTOCK ST,CORUNNA,MI,48817,1566,(989) 743-5641
3495,261554005217,GARDEN CITY MIDDLE SCHOOL,1851 RADCLIFF ST,GARDEN CITY,MI,48135,3712,(734) 762-8400
3933,262118007659,CENTER FOR INNOVATION,170 MILLVILLE RD,LAPEER,MI,48446,1697,(810) 667-2453
4643,260016908798,MARVIN L WINANS ACADEMY MIDDLE SCHOOL,9740 MCKINNEY,DETROIT,MI,48224,2503,(313) 640-4610
4660,260110304669,CASS TECHNICAL HIGH SCHOOL,2501 2ND AVE,DETROIT,MI,48201,2605,(313) 263-2000
5577,260020401119,PARAGON CHARTER ACADEMY,3750 MCCAIN RD,JACKSON,MI,49201,7675,(517) 750-9500
6078,262613008676,NOVI ADULT TRANSITION CENTER,24062 TAFT ROAD,NOVI,MI,48375,3022,(248) 449-1413
6221,260110304813,PERSHING HIGH SCHOOL,18875 RYAN ROAD,DETROIT,MI,48234,1997,(313) 866-7700
6393,262391006076,MEACHUM ELEMENTARY,8537 GLEASON ST,MILLINGTON,MI,48746,9601,(989) 660-2441
6508,260096008001,WALTER P REUTHER PSYCHIATRIC HOSPITAL,30901 PALMER RD,WESTLAND,MI,48186,9529,(734) 367-8527
8291,260222003965,LE WHITE MIDDLE SCHOOL,3300 115TH AVE,ALLEGAN,MI,49010,9304,(269) 673-2241
8871,261086004550,ELSA MEYER ELEMENTARY SCHOOL,100 HASTINGS ST,CORUNNA,MI,48817,1297,(989) 743-4404
