OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10637,270001301753,WATERVILLE-ELYSIAN-MORRISTOWN SR.,500 E PAQUIN ST,WATERVILLE,MN,56096,1596,(507) 362-4431
10926,270345000968,WOODSON KINDERGARTEN CENTER,1601 4TH ST SE,AUSTIN,MN,55912,3578,(507) 460-1400
12222,272817001243,PELICAN RAPIDS SECONDARY,310 S BROADWAY,PELICAN RAPIDS,MN,56572,0642,(218) 863-5910
13615,274278004510,EARLY CHILDHOOD LEARNING CENTER,1012 5TH AVE,WINDOM,MN,56101,8888,(507) 831-6940
18187,270036704507,STEP ACADEMY CHARTER SCHOOL,835 5TH ST E.,SAINT PAUL,MN,55106,8888,(651) 289-6120
19887,271778000818,ORCHARD LAKE ELEMENTARY,16531 KLAMATH TRAIL,LAKEVILLE,MN,55044,9268,(952) 232-2100
2415,270624004824,BROOKLYN CENTER EARLY COLLEGE ACAD,5910 SHINGLE CREEK PARKWAY,BROOKLYN CENTER,MN,55430,1897,(763) 561-2120
3529,272382000401,NORTH BRANCH LAB SCHOOL ALC,38423 LINCOLN TRAIL,NORTH BRANCH,MN,55056,0370,(651) 674-1050
4031,270032604393,TRACY ELEMENTARY,700 S 4TH ST,TRACY,MN,56175,1017,(507) 629-5518
4379,270042004995,SW METRO ONLINE LEARNING,401 E 4TH ST,CHASKA,MN,55318,1825,(952) 567-8000
4734,270729004990,DIAMONDHEAD READY TO LEARN,200 W. BURNSVILLE PKWY,BURNSVILLE,MN,55337,8888,(952) 707-4110
5767,273384005166,EARLY ED HIGHLAND,1700 SAUNDERS AVE,SAINT PAUL,MN,55116,8888,(651) 293-8770
6528,270038005150,PRODEO ACADEMY ST. PAUL,170 ROSE AVE W,SAINT PAUL,MN,55117,8888,(651) 350-7655
6540,279144305110,KENYON-WANAMINGO HIGH SCHOOL CREDIT,400 6TH STREET,KENYON,MN,55946,8888,(507) 789-6186
7887,274416001841,WORTHINGTON SENIOR HIGH,1211 CLARY ST,WORTHINGTON,MN,56187,2099,(507) 376-6121
8753,270609000259,RIVERSIDE ELEMENTARY,220 3RD ST NW,BRAINERD,MN,56401,3225,(218) 454-6800
8763,270002602124,DEAF/HARD OF HEARING,613 E 130 ST,BURNSVILLE,MN,55337,3672,(952) 707-3090
40352,270029503727,NOBLE ACADEMY,9477 DECATUR DRIVE NORTH,BROOKLYN PARK,MN,55445,8888,(763) 592-7706
40884,273384002189,BRIDGE VIEW SPECIAL EDUCATION,350 COLBORNE ST,SAINT PAUL,MN,55102,3299,(651) 293-8640
43790,273297001435,SEBEKA ELEMENTARY,200 1ST ST NW,SEBEKA,MN,56477,0249,(218) 837-5101
46114,273360004814,ARMSTRONG SCHOOL,500 3RD AVE S,SAINT JAMES,MN,56081,0509,(507) 375-3325
46473,271104004777,ACADEMIC EXCELLENCE ONLINE,215 N FIRST AVENUE EAST,DULUTH,MN,55802,8888,(218) 336-8766
47686,273379000032,ST. MICHAEL ELEMENTARY,101 CENTRAL AVE W,SAINT MICHAEL,MN,55376,0010,(763) 497-4882
48147,273252001404,ROYALTON HIGH SCHOOL,120 S HAWTHORN ST,ROYALTON,MN,56373,0005,(320) 584-4240
60027,270369000171,BARNUM ELEMENTARY,3813 E. NORTH ST.,BARNUM,MN,55707,0227,(218) 389-6976
60790,271304000155,GRANADA HUNTLEY EAST CHAIN HIGH SCH,300 REYNOLDS ST,GRANADA,MN,56039,0017,(507) 447-2211
61055,272124000991,KENWOOD ELEMENTARY,2013 PENN AVE S,MINNEAPOLIS,MN,55405,8888,(612) 668-2760
61434,272124004778,CITYVIEW COMMUNITY,3350 4TH STREET NORTH,MINNEAPOLIS,MN,55412,8888,(612) 688-2270
61873,271422002241,CEDAR RIDGE ELEMENTARY,8905 BRAXTON DR,EDEN PRAIRIE,MN,55347,3341,(952) 975-7800
63482,270028403614,SEVEN HILLS PREPARATORY ACADEMY,8600 BLOOMINGTON AVE S,BLOOMINGTON,MN,55425,8888,(952) 426-6001
63862,272838001025,PINE CITY AREA LEARNING CENTER,1225 MAIN ST S,PINE CITY,MN,55063,2198,(320) 629-4111
65260,270003802353,PINE TO PRAIRIE COOP. CTR.,2604 WHEAT DR,RED LAKE FALLS,MN,56750,4800,(218) 253-4393
101606,272142000413,WEST CENTRAL ACADEMY-S,729 11TH ST N,MOORHEAD,MN,56560,2800,(218) 979-3266
101679,271125000505,CONCORD ELEMENTARY,5900 CONCORD AVE S,EDINA,MN,55424,1799,(952) 848-4300
