OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
11511,290002203059,CROWLEY RIDGE SCHOOL,910 NINA ST,DEXTER,MO,63841,2737,(573) 624-4669
12256,292667002687,WESTVIEW MIDDLE,1950 NEMNICH,ST LOUIS,MO,63136,2983,(314) 867-0410
12536,291548000722,TRUMAN HIGH,3301 S NOLAND RD,INDEPENDENCE,MO,64055,1318,(816) 521-5350
13224,292697000847,COLE CO. R-I MIDDLE,13111 PARK ST,RUSSELLVILLE,MO,65074,1232,(573) 782-4915
13368,293084002129,MORGAN CO. ELEM.,913 W NEWTON,VERSAILLES,MO,65084,1811,(573) 378-4272
13660,291365000595,HANNIBAL SR. HIGH,4500 MCMASTERS AVE,HANNIBAL,MO,63401,2242,(573) 221-2733
16192,292181001207,MIDDLE SCH.,1400 HALE MCGINTY DR,NEOSHO,MO,64850,7609,(417) 451-8650
17150,290558000105,LAURA SPEED ELLIOTT MIDDLE,700 MAIN ST,BOONVILLE,MO,65233,1659,(660) 882-6649
18323,291635002430,NORTH MIDDLE,102 GRAY,JOPLIN,MO,64802,0128,(417) 625-5270
18351,291854002729,LILLIAN SCHUMACHER ELEM.,425 CLAYWOODS PKWY,LIBERTY,MO,64068,4358,(816) 736-5490
19097,291140001990,IDA CANNON MIDDLE,178 TOMAHAWK DR,ELSBERRY,MO,63343,0106,(573) 898-5554
111,293087002133,VIENNA ELEM.,300 FOURTH STREET,VIENNA,MO,65582,0218,(573) 422-3365
1147,291230000500,FOX MIDDLE,743 JEFFCO BLVD,ARNOLD,MO,63010,1432,(636) 296-5077
2416,291443000674,HILLSBORO MIDDLE ELEM.,10478 BUSINESS 21,HILLSBORO,MO,63050,3597,(636) 789-0030
3126,290060103194,HOPE LEADERSHIP ACADEMY,2800 E. LINWOOD BLVD.,KANSAS CITY,MO,64128,1544,(816) 921-1213
3239,292511001441,PIERCE CITY HIGH,300 MYRTLE ST,PIERCE CITY,MO,65723,1124,(417) 476-2515
7866,291797000960,LATHROP HIGH,102 N SCHOOL DR,LATHROP,MO,64465,8800,(816) 528-7400
8475,292067001117,OAKVILLE MIDDLE,5950 TELEGRAPH RD,ST LOUIS,MO,63129,4716,(314) 467-7400
9544,292829001748,SILEX HIGH,64 HWY UU,SILEX,MO,63377,0046,(573) 384-5227
41856,290000901145,MONTGOMERY CITY TREATMENT CTR.,300 NIEDERGERKE DR,MONTGOMERY CITY,MO,63361,NOT AVAILABLE,(573) 564-5262
43435,292346002278,DORIS HOFFMAN EARLY LEARNING C,413 W UNION,PACIFIC,MO,63069,1343,(636) 271-1464
43763,291548000718,PROCTER ELEM.,1403 W LINDEN AVE,INDEPENDENCE,MO,64052,4018,(816) 521-5440
45688,292850001760,SOUTH NODAWAY ELEM.,209 MOREHOUSE,BARNARD,MO,64423,0075,(660) 652-3718
48152,291332000566,GREENFIELD HIGH,410 W COLLEGE,GREENFIELD,MO,65661,1346,(417) 637-5328
48620,292622001541,REPUBLIC HIGH,4370 S. REPMO DRIVE,REPUBLIC,MO,65738,7570,(417) 732-3650
49093,292685001629,WOERTHER ELEM.,314 NEW BALLWIN RD,BALLWIN,MO,63021,6199,(636) 891-6175
61809,291434003246,ERVIN ELEMENTARY SCHOOL,10530 GREENWOOD RD,KANSAS CITY,MO,64134,3049,(816) 316-8400
62195,291452000682,HOLLIDAY ELEMENTARY,201 CURTRIGHT ST,HOLLIDAY,MO,65258,7038,(660) 266-3412
67438,291077000361,CENTRAL ELEM.,1213 CENTRAL DR,DEXTER,MO,63841,1896,(573) 614-1020
