OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
13077,302538000727,SUNSET SCHOOL,5024 SUNSET HILL ROAD,GREENOUGH,MT,59823,NOT AVAILABLE,(406) 244-5542
13161,300733000207,MEADOWLARK SCHOOL,17 3RD AVENUE SOUTHWEST,CONRAD,MT,59425,NOT AVAILABLE,(406) 278-5620
13585,301152000313,FRENCHTOWN HIGH SCHOOL,17620 FRONTAGE ROAD,FRENCHTOWN,MT,59834,NOT AVAILABLE,(406) 626-2670
9433,300912001028,DODSON 7-8,124 FIRST AVE W,DODSON,MT,59524,NOT AVAILABLE,(406) 383-4362
40614,301875000974,MONFORTON 6-8,6001 MONFORTON SCHOOL RD,BOZEMAN,MT,59718,NOT AVAILABLE,(406) 586-1557
44958,301681000522,LINCOLN ELEMENTARY SCHOOL,808 MAIN STREET,LINCOLN,MT,59639,NOT AVAILABLE,(406) 362-4201
67581,302706001088,KINGSBURY COLONY ATTN CTR,804 4TH STREET,VALIER,MT,59486,NOT AVAILABLE,(406) 279-3314
69135,301336000398,PLENTY COUPS HIGH SCHOOL,1 HIGH SCHOOL LANE,PRYOR,MT,59066,NOT AVAILABLE,(406) 259-7329
102272,300366000053,SPRING CREEK SCHOOL,LAKESHORE DRIVE,DECKER,MT,59025,NOT AVAILABLE,(406) 757-2515
105577,300065600529,LOCKWOOD INTERMEDIATE,1932 US HIGHWAY 87 E.,LOCKWOOD,MT,59101,NOT AVAILABLE,(406) 248-3239
20129,301126000307,FORT BENTON HIGH SCHOOL,1820 WASHINGTON,FORT BENTON,MT,59442,NOT AVAILABLE,(406) 622-3213
27389,300201000010,FRED MOODRY INTERMEDIATE,219 EAST 3RD,ANACONDA,MT,59711,NOT AVAILABLE,(406) 563-5101
28222,301758000545,MALTA K-5,706 SOUTH 3RD AVENUE EAST,MALTA,MT,59538,NOT AVAILABLE,(406) 654-2320
28546,301334000397,HARDIN HIGH SCHOOL,702 N TERRY AVENUE,HARDIN,MT,59034,NOT AVAILABLE,(406) 665-6300
28722,300444000985,BOX ELDER 7-8,205 MAIN STREET,BOX ELDER,MT,59521,NOT AVAILABLE,(406) 352-4195
29468,302688000923,FAIRHAVEN COLONY,9 MILES SW OF ULM,ULM,MT,59485,NOT AVAILABLE,(406) 866-3313
29998,300000301106,H C DAVIS ELEMENTARY,15 2ND AVENUE SE,CUT BANK,MT,59427,NOT AVAILABLE,(406) 873-5513
84287,300327000939,BELFRY 7-8,200 WISCONSIN,BELFRY,MT,59008,NOT AVAILABLE,(406) 664-3319
85253,300010000114,MT SCH FOR DEAF & BLND HS,3911 CENTRAL AVE,GREAT FALLS,MT,59405,NOT AVAILABLE,(406) 771-6017
87976,301506000459,JACKSON SCHOOL,415 JARDINE,JACKSON,MT,59736,NOT AVAILABLE,(406) 834-3138
30696,302880000804,WYOLA SCHOOL,1 MONDELL AVENUE,WYOLA,MT,59089,NOT AVAILABLE,(406) 343-2722
32410,300186000004,ALBERTON HIGH SCHOOL,306 RAILROAD AVE,ALBERTON,MT,59820,NOT AVAILABLE,(406) 722-3381
32610,300732000210,CONRAD HIGH SCHOOL,308 SOUTH ILLINOIS ST,CONRAD,MT,59425,NOT AVAILABLE,(406) 278-3285
32780,301841000558,JEFFERSON SCHOOL,106 NORTH STREVELL AVE,MILES CITY,MT,59301,NOT AVAILABLE,(406) 234-2888
33938,380567000826,SQUAW GAP SCHOOL,494 HWY 16 N,SIDNEY,MT,59270,NOT AVAILABLE,(701) 565-2230
36783,300009900414,HEART BUTTE ELEMENTARY,1 SCHOOL ROAD,HEART BUTTE,MT,59448,NOT AVAILABLE,(406) 338-2200
90359,300382000057,BIGFORK ELEMENTARY,600 COMMERCE ST,BIGFORK,MT,59911,NOT AVAILABLE,(406) 837-7412
90983,300585000944,VAUGHN 7-8,480 CENTRAL AVENUE,VAUGHN,MT,59487,NOT AVAILABLE,(406) 965-2231
99502,300387000901,BIG SKY ELEMENTARY,3231 GRANGER AVENUE EAST,BILLINGS,MT,59102,NOT AVAILABLE,(406) 281-6204
51445,301536001077,JUDITH GAP 7-8,306 4TH AVENUE,JUDITH GAP,MT,59453,NOT AVAILABLE,(406) 473-2211
51873,301545000086,KALISPELL MIDDLE SCHOOL,205 NW LANE,KALISPELL,MT,59901,NOT AVAILABLE,(406) 751-3800
53666,302088000624,PLEASANT VALLEY SCHOOL,7975 PLEASANT VALLEY ROAD,MARION,MT,59925,NOT AVAILABLE,(406) 858-2343
55115,300528000905,EAST MIDDLE SCHOOL,2600 GRAND AVENUE,BUTTE,MT,59701,NOT AVAILABLE,(406) 533-2600
56384,301326000388,HAMILTON MIDDLE SCHOOL,209 SOUTH 5TH ST,HAMILTON,MT,59840,NOT AVAILABLE,(406) 363-2121
56469,300000300018,GLACIER ELEMENTARY SCHOOL,451 TIPVILLE ROAD,CUT BANK,MT,59427,NOT AVAILABLE,(406) 336-2623
58276,301304000368,MORNINGSIDE SCHOOL,4119 7TH AVENUE NORTH,GREAT FALLS,MT,59401,NOT AVAILABLE,(406) 268-6960
59215,301326000388,HAMILTON MIDDLE SCHOOL,209 SOUTH 5TH ST,HAMILTON,MT,59840,NOT AVAILABLE,(406) 363-2121
73149,302493001009,ST REGIS 7-8,90 TIGER STREET,ST REGIS,MT,59866,NOT AVAILABLE,(406) 649-2311
73772,301917000593,NASHUA SCHOOL,222 MABEL,NASHUA,MT,59248,NOT AVAILABLE,(406) 746-3411
73900,300514000813,GLENDALE SCHOOL,2151 CHAULK BUTTE ROAD,CUT BANK,MT,59427,NOT AVAILABLE,(406) 336-2635
75389,300687001016,CLINTON 7-8,20397E MULLAN RD,CLINTON,MT,59825,NOT AVAILABLE,(406) 825-3113
79948,301599000492,LAMBERT SCHOOL,121 3RD AVE NW,LAMBERT,MT,59243,NOT AVAILABLE,(406) 774-3333
4873,302418000698,SHERIDAN HIGH SCHOOL,107 MADISON ST,SHERIDAN,MT,59749,NOT AVAILABLE,(406) 842-5401
8960,301649000508,HIGHLAND PARK SCHOOL,1312 7TH AVENUE NORTH,LEWISTOWN,MT,59457,NOT AVAILABLE,(406) 535-2555
9812,302355000686,SAVAGE HIGH SCHOOL,368 MESA SOUTH,SAVAGE,MT,59262,NOT AVAILABLE,(406) 776-2317
46926,301017000281,FAIRFIELD HIGH SCHOOL,13 7TH STREET,FAIRFIELD,MT,59436,NOT AVAILABLE,(406) 467-2528
60310,301974000602,OPHEIM SCHOOL,100 ROCK ST,OPHEIM,MT,59250,NOT AVAILABLE,(406) 762-3214
64485,302279000669,K WILLIAM HARVEY ELEM,221 4TH AVE NW,RONAN,MT,59864,NOT AVAILABLE,(406) 676-3390
64863,302367000688,SCOBEY HIGH SCHOOL,205 2ND AVENUE EAST,SCOBEY,MT,59263,NOT AVAILABLE,(406) 487-2202
52535,301557000480,KILA SCHOOL,395 KILA ROAD,KILA,MT,59920,NOT AVAILABLE,(406) 257-2428
52655,301092000292,EAST EVERGREEN SCHOOL,585 E. EVERGREEN,KALISPELL,MT,59901,NOT AVAILABLE,(406) 751-1121
92550,301890000589,MOORE HIGH SCHOOL,509 HIGHLAND AVE,MOORE,MT,59464,NOT AVAILABLE,(406) 374-2231
93335,301602000493,LAMBERT HIGH SCHOOL,121 3RD AVE NW,LAMBERT,MT,59243,NOT AVAILABLE,(406) 774-3333
94608,300000801051,ASHLAND 7-8,8 OLD MISSION ROAD,ASHLAND,MT,59003,NOT AVAILABLE,(406) 784-2568
98087,300065401099,LONE PEAK HIGH SCHOOL,45465 GALLATIN RD-30,GALLATIN GATEWAY,MT,59730,NOT AVAILABLE,(406) 995-4281
99741,300528000153,WHITTIER SCHOOL,2500 SHERMAN,BUTTE,MT,59701,NOT AVAILABLE,(406) 533-2890
84246,301347000402,HARLOWTON HIGH SCHOOL,304 DIVISION ST,HARLOWTON,MT,59036,NOT AVAILABLE,(406) 632-4324
85461,302334000981,RYEGATE 7-8,207 2ND AVE W,RYEGATE,MT,59074,NOT AVAILABLE,(406) 568-2215
85766,301116000303,FORSYTH ELEMENTARY SCHOOL,1850 CEDAR,FORSYTH,MT,59327,NOT AVAILABLE,(406) 346-2796
88592,302133000639,POTOMAC SCHOOL,29750 POTOMAC ROAD,BONNER,MT,59823,NOT AVAILABLE,(406) 244-5581
100464,301152000312,FRENCHTOWN ELEMENTARY SCHOOL,16495 MAIN STREET,FRENCHTOWN,MT,59834,NOT AVAILABLE,(406) 626-2620
11333,300387000085,WASHINGTON SCHOOL,1044 COOK AVENUE,BILLINGS,MT,59102,NOT AVAILABLE,(406) 281-6221
13753,300498000935,TOWNSEND 7-8,201 N SPRUCE,TOWNSEND,MT,59644,2215,(406) 441-3431
19403,300546001079,CANYON CREEK 7-8,3139 DUCK CREEK ROAD,BILLINGS,MT,59101,NOT AVAILABLE,(406) 656-4471
19703,300000500505,JIM DARCY SCHOOL,990 LINCOLN ROAD WEST,HELENA,MT,59602,NOT AVAILABLE,(406) 324-1410
33674,302271000937,ROBERTS 7-8,106 MAPLE ST,ROBERTS,MT,59070,NOT AVAILABLE,(406) 445-2421
74700,302877000803,WHITE SULPHUR SPRINGS HS,405 CENTRAL AVENUE SOUTH,WHITE SULPHUR SPRINGS,MT,59645,NOT AVAILABLE,(406) 547-3351
22087,300847000244,DEER CREEK SCHOOL,12 ROAD 564,GLENDIVE,MT,59330,NOT AVAILABLE,(406) 687-3724
75645,302100000954,PLEVNA 7-8,327 N MAIN ST,PLEVNA,MT,59344,NOT AVAILABLE,(406) 772-5666
77039,302334000681,RYEGATE HIGH SCHOOL,207 2ND AVENUE WEST,RYEGATE,MT,59074,NOT AVAILABLE,(406) 568-2211
92205,302734000764,VIDA SCHOOL,200 SHELL STREET,VIDA,MT,59274,NOT AVAILABLE,(406) 525-3374
95780,302550000962,SWAN RIVER 7-8,1205 SWAN HIGHWAY,BIGFORK,MT,59911,NOT AVAILABLE,(406) 837-4528
96932,301359000411,HAVRE HIGH SCHOOL,900 18TH STREET,HAVRE,MT,59501,NOT AVAILABLE,(406) 265-6731
97359,300793000226,CUSTER CO DISTRICT HIGH,20 SOUTH CENTER AVE,MILES CITY,MT,59301,NOT AVAILABLE,(406) 234-4920
98957,300891000256,DILLON MIDDLE SCHOOL,22 N COTTOM,DILLON,MT,59725,NOT AVAILABLE,(406) 683-2368
101756,300599000963,CAYUSE PRAIRIE 7-8,897 LAKE BLAINE ROAD,KALISPELL,MT,59901,NOT AVAILABLE,(406) 756-4560
85255,302673000753,TWIN BRIDGES HIGH SCHOOL,216 WEST 6TH ST,TWIN BRIDGES,MT,59754,NOT AVAILABLE,(406) 684-5657
87826,300207000976,ANDERSON 7-8,10040 COTTONWOOD ROAD,BOZEMAN,MT,59718,NOT AVAILABLE,(406) 587-1305
88837,300000500886,C R ANDERSON MIDDLE SCHL,1200 KNIGHT ST,HELENA,MT,59601,NOT AVAILABLE,(406) 324-2800
56212,300375000055,F E MILEY SCHOOL,342 VERNON AVE,BIG SANDY,MT,59520,NOT AVAILABLE,(406) 378-2406
24896,301014001066,FAIRFIELD 7-8,13 7TH STREET,FAIRFIELD,MT,59436,NOT AVAILABLE,(406) 467-2425
25618,302124001044,POPLAR 5-6 SCHOOL,400 4TH AVENUE WEST,POPLAR,MT,59255,NOT AVAILABLE,(406) 768-6730
29392,300514001100,BROWNING ELEMENTARY,112 FIRST AVE SOUTH WEST,BROWNING,MT,59417,NOT AVAILABLE,(406) 338-3490
60204,302280000670,RONAN HIGH SCHOOL,130 3RD AVE NW,RONAN,MT,59864,NOT AVAILABLE,(406) 676-3390
61767,301296000351,GRASS RANGE SCHOOL,310 EAST 2ND STREET,GRASS RANGE,MT,59032,NOT AVAILABLE,(406) 428-2341
62565,301296000955,GRASS RANGE 7-8,310 EAST 2ND STREET,GRASS RANGE,MT,59032,NOT AVAILABLE,(406) 428-2341
30694,302103000629,POLARIS SCHOOL,4210 PIONEER MNT SCENIC BYWAY,POLARIS,MT,59746,NOT AVAILABLE,(406) 834-3403
30813,301857000567,JEANNETTE RANKIN EL,2625 BRIGGS STREET,MISSOULA,MT,59803,NOT AVAILABLE,(406) 542-4010
34397,300886000253,DENTON SCHOOL,1200 LEHMAN,DENTON,MT,59430,NOT AVAILABLE,(406) 567-2270
36294,300870000960,DEER PARK 7-8,2105 MIDDLE ROAD,COLUMBIA FALLS,MT,59912,NOT AVAILABLE,(406) 892-5388
14704,301649000509,LEWIS & CLARK SCHOOL,212 CRYSTAL DRIVE,LEWISTOWN,MT,59457,NOT AVAILABLE,(406) 535-2811
40517,300285000037,SMITH VALLEY PRIMARY SCHL,2901 HWY 2 WEST,KALISPELL,MT,59901,NOT AVAILABLE,(406) 756-4535
42205,301311000068,GREENFIELD 7-8,590 HWY 431,FAIRFIELD,MT,59436,9214,(406) 467-2433
753,301356000408,HIGHLAND PARK SCHOOL,1207 WASHINGTON,HAVRE,MT,59501,NOT AVAILABLE,(406) 265-5554
828,302877000802,WHITE SULPHUR SPRINGS EL,405 CENTRAL AVENUE SOUTH,WHITE SULPHUR SPRINGS,MT,59645,NOT AVAILABLE,(406) 547-3751
879,301866000584,MOLT SCHOOL,214 LAKE AVE,MOLT,MT,59057,NOT AVAILABLE,(406) 669-3224
4245,301095000296,BISSELL SCHOOL,5955 FARM TO MARKET ROAD,WHITEFISH,MT,59937,NOT AVAILABLE,(406) 862-2828
96957,300489000121,BROADVIEW SCHOOL,13935 1ST STREET,BROADVIEW,MT,59015,NOT AVAILABLE,(406) 667-2337
97191,302610000738,THOMPSON FALLS HIGH SCHL,601 GOLF,THOMPSON FALLS,MT,59873,NOT AVAILABLE,(406) 827-3561
97738,302891000807,ZURICH SCHOOL,265 PARK ROAD,ZURICH,MT,59547,NOT AVAILABLE,(406) 357-4164
99062,300387000061,BENCH SCHOOL,505 MILTON ROAD,BILLINGS,MT,59105,NOT AVAILABLE,(406) 281-6203
65335,300741000215,CORVALLIS HIGH SCHOOL,1045 MAIN,CORVALLIS,MT,59828,NOT AVAILABLE,(406) 961-3201
67080,301761000547,MANHATTAN ELEM,416 NORTH BROADWAY,MANHATTAN,MT,59741,0425,(406) 284-3250
67845,300387000808,ALKALI CREEK SCHOOL,681 ALKALI CREEK ROAD,BILLINGS,MT,59105,NOT AVAILABLE,(406) 281-6200
68180,302493000715,ST REGIS HIGH SCHOOL,90 TIGER STREET,ST REGIS,MT,59866,NOT AVAILABLE,(406) 649-2311
69029,302367000949,SCOBEY 7-8,205 2ND AVENUE EAST,SCOBEY,MT,59263,NOT AVAILABLE,(406) 487-2202
82516,300264001047,BAINVILLE 7-8,409 TUBMAN,BAINVILLE,MT,59212,NOT AVAILABLE,(406) 769-2321
84262,301758000544,MALTA 6-7-8,1 HIGH SCHOOL LANE,MALTA,MT,59538,NOT AVAILABLE,(406) 654-2225
88694,302337001030,SACO 7-8,321 HWY 243,SACO,MT,59261,NOT AVAILABLE,(406) 527-3531
58652,300588000941,CASCADE 7-8,321 CENTRAL AVE W,CASCADE,MT,59421,NOT AVAILABLE,(406) 468-2267
58896,301590000487,DAYTON SCHOOL,506 B STREET,DAYTON,MT,59914,NOT AVAILABLE,(406) 849-5484
42173,300891000257,PARKVIEW SCHOOL,22 N COTTOM,DILLON,MT,59725,NOT AVAILABLE,(406) 683-2373
45190,300972001080,ELDER GROVE 7-8,1532 SOUTH 64 STREET W,BILLINGS,MT,59106,NOT AVAILABLE,(406) 656-2893
49013,301829000556,MELVILLE SCHOOL,50 MELVILLE MAIN ST,MELVILLE,MT,59055,NOT AVAILABLE,(406) 537-4457
70994,300329000044,BELGRADE MIDDLE SCHOOL,410 TRIPLE CROWN ROAD,BELGRADE,MT,59714,NOT AVAILABLE,(406) 924-2259
70997,300903000222,DIXON 7-8,411 B STREET,DIXON,MT,59831,NOT AVAILABLE,(406) 246-3566
76330,300514000132,NAPI SCHOOL,112 1ST AVE. SE,BROWNING,MT,59417,NOT AVAILABLE,(406) 338-2735
76742,302883000805,YAAK SCHOOL,29893 YAAK RIVER ROAD,TROY,MT,59935,NOT AVAILABLE,(406) 295-4805
78326,301854000824,BIG SKY HIGH SCHOOL,3100 SOUTH AVENUE WEST,MISSOULA,MT,59804,NOT AVAILABLE,(406) 728-2401
31549,300828000237,DARBY SCHOOL,209 SCHOOL DRIVE,DARBY,MT,59829,NOT AVAILABLE,(406) 821-3643
32112,301356000406,HAVRE MIDDLE SCHOOL,1441 11TH STREET WEST,HAVRE,MT,59501,NOT AVAILABLE,(406) 265-9613
36148,300741000213,CORVALLIS 7-8,1045 MAIN,CORVALLIS,MT,59828,NOT AVAILABLE,(406) 961-3007
36296,301014000280,FAIRFIELD ELEMENTARY SCHOOL,13 7TH STREET,FAIRFIELD,MT,59436,NOT AVAILABLE,(406) 467-2425
36555,302223001061,REED POINT 7-8,308 CENTRAL AVE,REED POINT,MT,59069,NOT AVAILABLE,(406) 326-2245
39094,301817000552,MEDICINE LAKE HIGH SCHOOL,311 YOUNG ST,MEDICINE LAKE,MT,59247,NOT AVAILABLE,(406) 789-2211
14512,302172000930,PRYOR 7-8,1 HIGH SCHOOL LANE,PRYOR,MT,59066,NOT AVAILABLE,(406) 259-7329
15849,300711000196,GLACIER GATEWAY ELEM,440 4TH AVENUE WEST,COLUMBIA FALLS,MT,59912,NOT AVAILABLE,(406) 892-6540
18338,301185000322,GARDINER HIGH SCHOOL,510 STONE STREET,GARDINER,MT,59030,NOT AVAILABLE,(406) 848-7261
205,300795000227,SPRING CREEK SCHOOL,12 ROAD 561,POWDERVILLE,MT,59345,NOT AVAILABLE,(406) 554-3512
4246,302187000649,RAPELJE SCHOOL,714 MAIN STREET,RAPELJE,MT,59067,NOT AVAILABLE,(406) 663-2215
7054,301512000461,JEFFERSON HIGH SCHOOL,312 SOUTH MAIN,BOULDER,MT,59632,NOT AVAILABLE,(406) 225-3317
7598,301512000461,JEFFERSON HIGH SCHOOL,312 SOUTH MAIN,BOULDER,MT,59632,NOT AVAILABLE,(406) 225-3317
21438,302352000685,SAVAGE SCHOOL,368 MESA SOUTH,SAVAGE,MT,59262,NOT AVAILABLE,(406) 776-2317
24263,300000500424,ROSSITER SCHOOL,1497 SIERRA ROAD EAST,HELENA,MT,59602,NOT AVAILABLE,(406) 324-1500
24934,301677000521,LINCOLN CO HIGH SCHOOL,312 9TH ST,EUREKA,MT,59917,NOT AVAILABLE,(406) 297-5700
25443,300329001111,SADDLE PEAK ELEMENTARY,400 N. JACKRABBIT LANE,BELGRADE,MT,59714,NOT AVAILABLE,(406) 924-2006
25708,302649000746,TRINITY SCHOOL,7435 DUFFY LANE,CANYON CREEK,MT,59633,NOT AVAILABLE,(406) 368-2230
26834,301974001074,OPHEIM 7-8,100 ROCK ST,OPHEIM,MT,59250,NOT AVAILABLE,(406) 762-3214
28718,302814000972,WILLOW CREEK 7-8,407 MAIN STREET,WILLOW CREEK,MT,59760,NOT AVAILABLE,(406) 285-6991
91210,300201000011,LINCOLN PRIMARY,506 CHESTNUT STREET,ANACONDA,MT,59711,NOT AVAILABLE,(406) 563-6361
93104,300599000172,CAYUSE PRAIRIE SCHOOL,897 LAKE BLAINE ROAD,KALISPELL,MT,59901,NOT AVAILABLE,(406) 756-4560
93836,300009600485,NORTH STAR SCHOOL,205 3RD ST EAST,GILDFORD,MT,59525,NOT AVAILABLE,(406) 355-4481
