OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
12367,370331000387,J T BARBER ELEMENTARY,1700 COBB STREET,NEW BERN,NC,28560,3536,(252) 514-6460
12473,370162000716,W C FRIDAY MIDDLE SCHOOL,1221 RATCHFORD DRIVE,DALLAS,NC,28034,7522,(704) 922-5297
12518,370042000122,BOLIVIA ELEMENTARY,4036 BUSINESS HWY 17-E,BOLIVIA,NC,28422,NOT AVAILABLE,(910) 253-6516
12551,370053002064,NORTHWEST CABARRUS MIDDLE,5140 NW CABARRUS DRIVE,CONCORD,NC,28027,7624,(704) 260-6550
16153,370502002200,TOISNOT MIDDLE,1301 CORBETT AVE N,WILSON,NC,27893,1909,(252) 399-7973
19157,370438001739,PINNACLE ELEMENTARY SCHOOL,1095 SURRY LINE RD,PINNACLE,NC,27043,NOT AVAILABLE,(336) 368-2990
19645,370393002232,FAIRMONT HIGH,5419 OLD STAGE ROAD,FAIRMONT,NC,28340,9454,(910) 628-6727
19716,370462002352,SARDIS ELEMENTARY,4416 SARDIS CHURCH ROAD,MONROE,NC,28110,NOT AVAILABLE,(704) 296-3145
2,370297001287,WESTERLY HILLS ACADEMY,4420 DENVER AVE,CHARLOTTE,NC,28208,3699,(980) 343-6021
756,370053003384,W R ODELL ELEMENTARY,1885 ODELL SCHOOL RD,CONCORD,NC,28027,NOT AVAILABLE,(704) 260-6030
2226,370489003079,ROANOKE VALLEY EARLY COLLEGE,100 COLLEGE DR,WELDON,NC,27890,NOT AVAILABLE,(252) 536-6364
2251,370001100431,J W SEABROOK ELEMENTARY,4619 NC HWY 210 SOUTH,FAYETTEVILLE,NC,28301,NOT AVAILABLE,(910) 323-2930
4449,370007702427,MARJORIE WILLIAMS ACADEMY,129 ALLEN CIRCLE,CROSSNORE,NC,28616,NOT AVAILABLE,(828) 733-5241
5750,370114000477,PILOT ELEMENTARY,145 PILOT SCHOOL ROAD,THOMASVILLE,NC,27360,7800,(336) 472-7965
6087,370043903463,APPRENTICE ACADEMY HIGH SCHOOL,2505 WEDDINGTON RD.,MONROE,NC,28110,NOT AVAILABLE,(980) 313-8610
6912,370063000257,NEWPORT ELEMENTARY,219 CHATHAM STREET,NEWPORT,NC,28570,8514,(252) 223-4201
8063,370090002710,GRAHAM ELEMENTARY,1100 BLANTON STREET,SHELBY,NC,28150,5104,(704) 476-8386
8926,370201000885,JOHNSONVILLE ELEMENTARY,18495 NC HWY 27 WEST,CAMERON,NC,28326,9802,(919) 499-4912
9669,370297001228,IDLEWILD ELEMENTARY,7101 IDLEWILD RD,CHARLOTTE,NC,28212,5749,(980) 343-6411
42829,370462001807,UNIONVILLE ELEMENTARY,4511 UNIONVILLE RD,MONROE,NC,28110,7425,(704) 296-3055
43136,370183000755,WEST GREENE ELEMENTARY,303 KINGOLD BOULEVARD,SNOW HILL,NC,28580,1392,(252) 747-3955
45380,370507002029,MICAVILLE ELEMENTARY,112 STATE HWY 80 SOUTH,BURNSVILLE,NC,28714,NOT AVAILABLE,(828) 675-4161
45893,370405001615,CORRIHER LIPE MIDDLE,214 WEST RICE ST,LANDIS,NC,28088,1726,(704) 857-7946
46038,370001202147,WAHL COATES ELEMENTARY,2200 E 5TH ST,GREENVILLE,NC,27858,3003,(252) 752-2514
46279,370078001820,ANDREWS MIDDLE,2750 BUSINESS HWY 19,ANDREWS,NC,28901,8097,(828) 321-5762
47189,370237002587,RIVERWOOD MIDDLE,204 ATHLETIC CLUB BLVD,CLAYTON,NC,27527,5761,(919) 359-2769
48515,370297001251,OAKDALE ELEMENTARY,1825 OAKDALE RD,CHARLOTTE,NC,28216,1421,(980) 343-6076
48627,370150000643,UNION CROSS TRADITIONAL ACAD,4300 HIGH POINT ROAD,KERNERSVILLE,NC,27284,9101,(336) 703-4233
49744,370225000975,WEST HOKE ELEMENTARY,6050 TURNPIKE ROAD,RAEFORD,NC,28376,9599,(910) 875-2584
61574,370393002791,PSRC EARLY COLLEGE AT RCC,5160 FAYETTEVILLE ROAD,LUMBERTON,NC,28360,NOT AVAILABLE,(910) 737-5232
63378,370488000349,CARVER HEIGHTS ELEMENTARY,411 BUNCHE DRIVE,GOLDSBORO,NC,27530,6469,(919) 731-7222
63569,370472001849,OBERLIN MIDDLE,2816 OBERLIN RD,RALEIGH,NC,27608,1220,(919) 881-4860
64055,370162000712,SOUTHWEST MIDDLE,1 ROADRUNNER DRIVE,GASTONIA,NC,28052,6299,(704) 866-6290
65526,370045000138,BLACK MOUNTAIN PRIMARY,301 EAST STATE STREET,BLACK MOUNTAIN,NC,28711,NOT AVAILABLE,(828) 669-2645
68363,370268001111,EAST LINCOLN MIDDLE,4137 HWY 73,IRON STATION,NC,28080,7709,(704) 732-0761
68621,370162000671,CATAWBA HEIGHTS ELEMENTARY,101 IVEY STREET,BELMONT,NC,28012,2554,(704) 836-9119
69089,370231003081,CLOVERLEAF ELEMENTARY,300 JAMES FARM RD,STATESVILLE,NC,28625,NOT AVAILABLE,(704) 978-2111
100408,370003002566,HAWFIELDS MIDDLE,1951 S NC 119,MEBANE,NC,27302,NOT AVAILABLE,(919) 563-5303
100932,370453001783,ROSMAN HIGH,749 PICKENS HWY,ROSMAN,NC,28772,NOT AVAILABLE,(828) 862-4284
102230,370048001005,HALLYBURTON ACADEMY,205 SOUTH MAIN STREET,DREXEL,NC,28619,NOT AVAILABLE,(828) 437-4184
102690,370162003564,GASTON VIRTUAL ACADEMY MIDDLE,240 EIGHTH AVE,CRAMERTON,NC,28032,NOT AVAILABLE,(704) 836-9125
102712,370432003513,STANLY STEM EARLY COLLEGE,311 PARK RIDGE ROAD,ALBEMARLE,NC,28001,NOT AVAILABLE,(704) 961-4900
105928,370047103555,SUMMIT CREEK ACADEMY,NO STREET ADDRESS,GREENSBORO,NC,27416,NOT AVAILABLE,(336) 355-5698
105929,370047203556,TELRA INSTITUTE,5803 SUMMERSTON PL,CHARLOTTE,NC,28277,NOT AVAILABLE,(617) 767-6370
20210,370001103248,NEW CENTURY INTERNATIONAL MIDDLE,7455 CENTURY CIRCLE,FAYETTEVILLE,NC,28306,NOT AVAILABLE,(910) 487-2001
20616,370120000499,KENANSVILLE ELEMENTARY,328 LIMESTONE RD,KENANSVILLE,NC,28349,NOT AVAILABLE,(910) 296-1647
21017,370036002285,WINDSOR ELEMENTARY,104 COOPER HILL ROAD,WINDSOR,NC,27983,8504,(252) 794-5221
21463,370150000642,SPEAS ELEMENTARY,2000 W POLO ROAD,WINSTON SALEM,NC,27106,4547,(336) 703-4135
21663,370162000668,BESSEMER CITY HIGH,119 YELLOW JACKET LANE,BESSEMER CITY,NC,28016,NOT AVAILABLE,(704) 836-9601
23366,370408001648,EAST RUTHERFORD MIDDLE SCHOOL,259 EAST CHURCH STREET,BOSTIC,NC,28018,NOT AVAILABLE,(828) 245-3750
23590,370024000069,NORTH ASHEBORO MIDDLE,1861 N ASHEBORO SCHOOL RD,ASHEBORO,NC,27203,3699,(336) 672-1900
27175,370063000260,WHITE OAK ELEMENTARY,555 WB MCLEAN DRIVE,CAPE CARTERET,NC,28584,9299,(252) 393-3990
27369,370216000931,AHOSKIE ELEMENTARY,200 N TALMAGE ST,AHOSKIE,NC,27910,2546,(252) 332-2588
27408,370053002076,ROCKY RIVER ELEMENTARY,5454 ROCKY RIVER ROAD,CONCORD,NC,28025,8844,(704) 260-6290
28792,370045000164,ROBERSON HIGH,250 OVERLOOK ROAD,ASHEVILLE,NC,28803,3317,(828) 654-1765
29255,370237000811,SELMA MIDDLE SCHOOL,1533 HWY 301 N,SELMA,NC,27576,9998,(919) 965-2555
29400,370483001938,HARDIN PARK ELEMENTARY,361 JEFFERSON ROAD,BOONE,NC,28607,9320,(828) 264-8481
