OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
9262,330299000116,FALL MOUNTAIN REGIONAL HIGH SCHOOL,134 FMRHS RD.,LANGDON,NH,3602,9612,(603) 835-6318
64070,330004800609,GREAT BAY CHARTER SCHOOL (H),30 LINDEN ST.,EXETER,NH,3833,2622,(603) 775-8638
69409,330213000033,HENRY W. MOORE SCHOOL,12 DEERFIELD RD.,CANDIA,NH,3034,2701,(603) 483-2251
24427,330498000324,NEW SEARLES SCHOOL,39 SHADY LN.,NASHUA,NH,3062,2327,(603) 966-3620
26604,330195000480,BOW ELEMENTARY SCHOOL,22 BOW CENTER RD.,BOW,NH,3304,3410,(603) 225-3049
82981,330459000248,GREEN ACRES SCHOOL,100 JACK LOVERING DRIVE,MANCHESTER,NH,3109,4901,(603) 624-6330
88635,330459000251,HILLSIDE MIDDLE SCHOOL,112 RESERVOIR AVE.,MANCHESTER,NH,3104,4498,(603) 624-6352
90891,330396000185,INTER-LAKES HIGH SCHOOL,1 LAKER LN.,MEREDITH,NH,3253,6322,(603) 279-6162
93165,330426000493,LIN-WOOD PUBLIC SCHOOL (ELEM),54 LINWOOD DR.,LINCOLN,NH,3251,0097,(603) 745-2214
96343,330441000484,LONDONDERRY SENIOR HIGH SCHOOL,295 MAMMOTH RD.,LONDONDERRY,NH,3053,3095,(603) 432-6941
96604,330711500110,WILTON-LYNDEBORO MIDDLE SCHOOL,57 SCHOOL RD.,WILTON,NH,3086,0255,(603) 732-9230
99767,330678000442,PAUL ELEMENTARY SCHOOL,60 TAYLOR WAY,SANBORNVILLE,NH,3872,4350,(603) 522-8891
55364,330246000056,MILL BROOK SCHOOL,53 SOUTH CURTISVILLE ROAD,CONCORD,NH,3301,NOT AVAILABLE,(603) 225-0830
73182,330186000027,BERLIN SENIOR HIGH SCHOOL,550 WILLARD ST.,BERLIN,NH,3570,1499,(603) 752-4122
7733,330003500047,GORHAM MIDDLE SCHOOL,120 MAIN ST.,GORHAM,NH,3581,1657,(603) 466-2776
8310,330474000279,REEDS FERRY SCHOOL,15 LYONS RD.,MERRIMACK,NH,3054,2821,(603) 424-6215
47468,330351000471,HAMPTON ACADEMY,29 ACADEMY AVE.,HAMPTON,NH,3842,2279,(603) 926-2000
49624,330672000440,TIMBERLANE REGIONAL MIDDLE SCHOOL,44 GREENOUGH RD.,PLAISTOW,NH,3865,2798,(603) 382-7131
61448,330570000528,PITTSBURG SCHOOL (HIGH),12 SCHOOL ST,PITTSBURG,NH,3592,9720,(603) 538-6536
65548,330672000434,ATKINSON ACADEMY,17 ACADEMY AVE.,ATKINSON,NH,3811,2298,(603) 362-5521
67027,330390000052,HOPKINTON MIDDLE SCHOOL,297 PARK AVE.,CONTOOCOOK,NH,3229,3091,(603) 746-4167
67196,330261000194,WEST RUNNING BROOK MIDDLE SCHOOL,1 W. RUNNING BROOK LN.,DERRY,NH,3038,4143,(603) 432-1250
67804,330279000100,EAST KINGSTON ELEMENTARY SCHOOL,5 ANDREWS LN.,EAST KINGSTON,NH,3827,2134,(603) 642-3511
52194,330522000517,NEWFOUND MEMORIAL MIDDLE SCHOOL,155 N. MAIN ST.,BRISTOL,NH,3222,1402,(603) 744-8162
52996,330594000709,MAPLE STREET MAGNET SCHOOL,27 MAPLE STREET,ROCHESTER,NH,3867,2209,(603) 332-6481
80666,330001700106,EXETER HIGH SCHOOL,1 BLUE HAWK DR.,EXETER,NH,3833,NOT AVAILABLE,(603) 775-8400
87650,330375000481,HILLSBORO-DEERING MIDDLE SCHOOL,6 HILLCAT DR.,HILLSBOROUGH,NH,3244,4847,(603) 464-1120
18821,330165000700,EARLY CHILDHOOD LEARNING CENTER,77 RAMSDELL LANE,BARRINGTON,NH,3825,7427,(603) 664-5586
19892,330474000276,JAMES MASTRICOLA ELEMENTARY SCHOOL,7 SCHOOL ST.,MERRIMACK,NH,3054,3685,(603) 424-6218
39882,330333000149,OSSIPEE CENTRAL SCHOOL,68 MAIN ST.,CTR. OSSIPEE,NH,3814,0068,(603) 539-4589
73048,330489000305,TROY ELEMENTARY SCHOOL,44 SCHOOL ST.,TROY,NH,3465,2130,(603) 242-7741
78468,330207000670,CAPTAIN SAMUEL DOUGLASS ACADEMY,24 TOWNSEND HILL RD.,BROOKLINE,NH,3033,0480,(603) 673-0122
21484,330246000060,CHRISTA MCAULIFFE SCHOOL,17 NORTH SPRING STREET,CONCORD,NH,3301,NOT AVAILABLE,(603) 225-0840
75856,330387000175,HOOKSETT MEMORIAL SCHOOL,5 MEMORIAL DR.,HOOKSETT,NH,3106,1716,(603) 485-9890
91237,330555000357,PELHAM MEMORIAL SCHOOL,59 MARSH RD.,PELHAM,NH,3076,3160,(603) 635-2321
95219,330426000531,LIN-WOOD PUBLIC SCHOOL (MIDDLE),72 LINWOOD DR.,LINCOLN,NH,3251,0097,(603) 745-2214
98272,330429000534,LISBON REGIONAL SCHOOL (MIDDLE),24 HIGHLAND AVE.,LISBON,NH,3585,1399,(603) 838-5506
98566,330476000287,WEBSTER ELEMENTARY SCHOOL,936 BATTLE ST.,WEBSTER,NH,3303,7305,(603) 648-2467
51778,330330200721,MICROSOCIETY ACADEMY CHARTER SCHOOL FOUNDATION,591 WEST HOLLIS STREET,NASHUA,NH,3062,1323,(603) 595-7877
56616,330329600711,GRANITE STATE ARTS ACADEMY CHARTER SCHOOL,19 KEEWAYDIN DRIVE,SALEM,NH,3079,4891,(603) 912-4944
60040,330603000399,RYE JUNIOR HIGH SCHOOL,501 WASHINGTON RD.,RYE,NH,3870,2315,(603) 964-5591
60410,330354000154,LINCOLN AKERMAN SCHOOL,8 EXETER RD.,HAMPTON FALLS,NH,3844,2028,(603) 926-2539
61513,330594000393,SCHOOL STREET SCHOOL,13 SCHOOL ST.,ROCHESTER,NH,3867,2824,(603) 332-6483
63491,330267000096,HANOVER HIGH SCHOOL,41 LEBANON ST. SUITE 1,HANOVER,NH,3755,2147,(603) 643-3431
66979,330730000467,UNION SANBORN SCHOOL,5 ELM ST.,NORTHFIELD,NH,3276,1560,(603) 286-4332
30154,330300000597,VALLEY VIEW COMMUNITY SCHOOL,79 THAYER DR.,FARMINGTON,NH,3835,NOT AVAILABLE,(603) 755-4757
30364,330459000262,WESTON ELEMENTARY SCHOOL,7 MICHIGAN AVENUE,MANCHESTER,NH,3104,5598,(603) 624-6347
34619,330582000376,LITTLE HARBOUR SCHOOL,50 CLOUGH DR.,PORTSMOUTH,NH,3801,5297,(603) 436-1708
45355,330459000257,SMYTH ROAD SCHOOL,245 BRUCE RD.,MANCHESTER,NH,3104,3499,(603) 624-6340
47455,330489000298,CUTLER ELEMENTARY SCHOOL,31 S. WINCHESTER ST.,W. SWANZEY,NH,3446,3213,(603) 352-3383
6110,330331400730,WINDHAM ACADEMY PUBLIC CHARTER SCHOOL,1 INDUSTRIAL DRIVE,WINDHAM,NH,3087,2304,(603) 236-7900
6673,330474000277,JAMES MASTRICOLA UPPER ELEMENTARY SCHOOL,26 BABOOSIC LAKE RD.,MERRIMACK,NH,3054,3697,(603) 424-6221
7408,330003000613,NORTH COUNTRY CHARTER ACADEMY (M),260 COTTAGE ST. SUITE A,LITTLETON,NH,3561,4137,(603) 444-1535
91317,330248000069,FRANCESTOWN ELEMENTARY SCHOOL,325 2ND NH TURNPIKE S.,FRANCESTOWN,NH,3043,0179,(603) 547-2976
97298,330594000394,SPAULDING HIGH SCHOOL,130 WAKEFIELD ST.,ROCHESTER,NH,3867,1399,(603) 332-0757
80284,330004000684,ACADEMY FOR SCIENCE AND DESIGN CHARTER (H),486 AMHERST STREET,NASHUA,NH,3063,1282,(603) 595-4705
83810,330399000187,JACKSON GRAMMAR SCHOOL,10 BLACK MOUNTAIN RD,JACKSON,NH,3846,0809,(603) 383-6861
88421,330660000432,KENNETH A. BRETT SCHOOL,881 TAMWORTH RD.,TAMWORTH,NH,3886,4320,(603) 323-7271
50932,330329900712,GATE CITY CHARTER SCHOOL FOR THE ARTS,7 HENRY CLAY DR,MERRIMACK,NH,3054,4847,(603) 943-5273
59721,330261000716,DERRY EARLY EDUCATION PROGRAM,5 HOOD ROAD,DERRY,NH,3038,NOT AVAILABLE,(603) 845-1202
43583,330300000123,FARMINGTON SENIOR HIGH SCHOOL,40 THAYER DR.,FARMINGTON,NH,3835,1299,(603) 755-2811
49667,330195000563,BOW HIGH SCHOOL,55 FALCON WAY,BOW,NH,3304,4219,(603) 228-2210
36824,330693000025,CENTER WOODS SCHOOL,14 CENTER RD.,WEARE,NH,3281,4605,(603) 529-4500
1302,330528000518,NEWMARKET JR.-SR. HIGH SCHOOL,213 S. MAIN ST.,NEWMARKET,NH,3857,1898,(603) 659-3271
7916,330489000061,MONADNOCK REGIONAL MIDDLE SCHOOL,580 OLD HOMESTEAD HWY.,E. SWANZEY,NH,3446,2308,(603) 352-6575
26549,330276000098,DUNBARTON ELEMENTARY SCHOOL,20 ROBERT ROGERS RD.,DUNBARTON,NH,3046,4808,(603) 774-3181
29236,330324000138,BARTLETT ELEMENTARY SCHOOL,689 MAST RD.,MANCHESTER,NH,3102,1448,(603) 623-8088
38190,330404000193,KEARSARGE REGIONAL HIGH SCHOOL,457 NORTH RD.,NORTH SUTTON,NH,3260,0182,(603) 927-4261
38570,330438000229,LITTLETON HIGH SCHOOL,159 OAK HILL AVE.,LITTLETON,NH,3561,1238,(603) 444-5601
19932,330441000594,MOOSE HILL SCHOOL,150 PILLSBURY RD.,LONDONDERRY,NH,3053,3224,(603) 437-5855
22625,330618000413,BELMONT MIDDLE SCHOOL,38 SCHOOL ST.,BELMONT,NH,3220,4511,(603) 267-9220
27842,330061600296,NUTE JUNIOR HIGH SCHOOL,22 ELM ST.,MILTON,NH,3851,4503,(603) 652-4591
69093,330705000453,LANCASTER ELEMENTARY SCHOOL,51 BRIDGE ST.,LANCASTER,NH,3584,1737,(603) 788-4924
70772,330189000028,BETHLEHEM ELEMENTARY SCHOOL,2297 MAIN ST.,BETHLEHEM,NH,3574,0430,(603) 869-5842
47466,330672000439,TIMBERLANE REGIONAL HIGH SCHOOL,36 GREENOUGH RD.,PLAISTOW,NH,3865,2799,(603) 382-6541
1460,330004200683,STRONG FOUNDATIONS CHARTER SCHOOL,715 RIVERWOOD DR.,PEMBROKE,NH,3275,3701,(603) 225-2715
2644,330606000401,DR. L. F. SOULE SCHOOL,173 SOUTH POLICY ST.,SALEM,NH,3079,3734,(603) 893-7053
84857,330552000520,MOHARIMET SCHOOL,11 LEE RD.,MADBURY,NH,3823,7553,(603) 742-2900
86278,330415000215,LAFAYETTE REGIONAL SCHOOL,149 MAIN ST.,FRANCONIA,NH,3580,4802,(603) 823-7741
88139,330435000228,GRIFFIN MEMORIAL SCHOOL,229 CHS BANCROFT HWY.,LITCHFIELD,NH,3052,2344,(603) 424-0078
61479,330426000532,LIN-WOOD PUBLIC SCHOOL (HIGH),72 LINWOOD DR.,LINCOLN,NH,3251,0097,(603) 745-2214
64486,330570000528,PITTSBURG SCHOOL (HIGH),12 SCHOOL ST,PITTSBURG,NH,3592,9720,(603) 538-6536
65523,330498000325,PENNICHUCK MIDDLE SCHOOL,207 MANCHESTER ST.,NASHUA,NH,3060,8112,(603) 966-4140
67073,330384000566,HOLLIS UPPER ELEMENTARY SCHOOL,12 DRURY LN.,HOLLIS,NH,3049,5900,(603) 465-9182
