OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10309,341047005938,RADIX ELEMENTARY,363 RADIX RD,WILLIAMSTOWN,NJ,8094,8602,(856) 728-8650
12489,340228006047,HAMILTON PRIMARY SCHOOL,9 HAMILTON LANE,BASKING RIDGE,NJ,7920,NOT AVAILABLE,(908) 575-0050
13662,341248004458,TROY HILLS ELEMENTARY SCHOOL,509 S BEVERWYCK ROAD,PARSIPPANY,NJ,7054,3327,(973) 428-7588
14305,340852000534,LEONIA HIGH SCHOOL,100 CHRISTIE HEIGHTS STREET,LEONIA,NJ,7605,1525,(201) 302-5200
14381,341764005018,BEATRICE GILMORE SCHOOL,1075 MCBRIDE AVENUE,WOODLAND PARK,NJ,7424,2538,(973) 317-7740
14811,341134002318,MCKINLEY ELEMENTARY SCHOOL,1 COLONNADE PL,NEWARK,NJ,7104,1810,(973) 268-5270
15699,340753003138,BEAR TAVERN ELEMENTARY SCHOOL,1162 BEAR TAVERN ROAD,TITUSVILLE,NJ,8560,9633,(609) 737-4005
16375,341056002184,WATCHUNG ELEMENTARY SCHOOL,14 GARDEN ST,MONTCLAIR,NJ,7042,4116,(973) 509-4259
17183,340270001704,CAPE MAY CITY ELEMENTARY SCHOOL,921 LAFAYETTE ST,CAPE MAY,NJ,8204,1646,(609) 884-8485
18558,340840003160,LAWRENCE INTERMEDIATE SCHOOL,66 EGGERTS CROSSING ROAD,LAWRENCEVILLE,NJ,8648,2804,(609) 671-5530
19962,340312001028,ELEANOR RUSH INTERMEDIATE SCHOOL,1200 WYNWOOD DRIVE,CINNAMINSON,NJ,8077,2404,(856) 829-7778
78,340076903036,SOUTH HUNTERDON REGIONAL HIGH SCHOOL,301 MT AIRY HARBOURTON RD,LAMBERTVILLE,NJ,8530,NOT AVAILABLE,(609) 397-2060
260,340783003121,INFINITY INSTITUTE,193 OLD BERGEN ROAD,JERSEY CITY,NJ,7305,NOT AVAILABLE,(201) 915-1404
2427,341287001612,HOWARD M. PHIFER MIDDLE SCHOOL,8201 PARK AVE,PENNSAUKEN,NJ,8109,3544,(856) 662-8511
4976,341750000161,CLASS ACADEMY,537 TINTON AVENUE,TINTON FALLS,NJ,7724,NOT AVAILABLE,(732) 542-5455
5186,341428005652,HARRISON ELEMENTARY SCHOOL,310 HARRISON AVE,ROSELLE,NJ,7203,NOT AVAILABLE,(908) 298-2052
5488,348030006040,ESSEX JUNIOR ACADEMY,520 POMPTON AVENUE,CEDAR GROVE,NJ,7009,NOT AVAILABLE,(973) 239-0125
6533,341812003722,ROSS STREET ELEMENTARY SCHOOL,ROSS STREET,WOODBRIDGE,NJ,7095,NOT AVAILABLE,(732) 602-8511
6861,341032001874,CHILD FAMILY CENTER,1100 COOMBS RD.,MILLVILLE,NJ,8332,NOT AVAILABLE,(856) 293-2171
7263,340300000263,BARCLAY EARLY CHILDHOOD CENTER,1220 WINSTON WAY,CHERRY HILL,NJ,8034,2919,(856) 429-7283
7588,341353005646,ROOSEVELT ELEMENTARY SCHOOL,811 ST GEORGE AVE,RAHWAY,NJ,7065,2626,(732) 396-1060
