OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
13050,320030000450,SUTRO ELEMENTARY SCHOOL,190 DAYTON VILLAGE PARKWAY,DAYTON,NV,89403,NOT AVAILABLE,(775) 246-6270
18721,320000100821,IMAGINE SCHOOL MOUNTAIN VIEW,6610 GRAND MONTECITO PKWY,LAS VEGAS,NV,89149,NOT AVAILABLE,(702) 253-0251
19732,320048000218,GLENN DUNCAN STEM ACADEMY,1200 MONTELLO STREET,RENO,NV,89512,NOT AVAILABLE,(775) 333-5190
19920,320048000367,SILVER LAKE ELEMENTARY,8719 RED BARON BLVD,RENO,NV,89506,NOT AVAILABLE,(775) 677-5400
4479,320000100870,SPORTS LEADERSHIP AND MANAGEMENT ACADEMY,1095 FIELDERS ST.,HENDERSON,NV,89011,NOT AVAILABLE,(702) 473-5735
6055,320021000858,HUMBOLDT ADULT EDUCATION PROGRAM,310 EAST 4TH STREET,WINNEMUCCA,NV,89445,NOT AVAILABLE,(775) 623-8277
6136,320002300808,INDEPENDENCE HIGH SCHOOL,100 YOUTH CENTER RD,ELKO,NV,89801,NOT AVAILABLE,(775) 738-5907
6246,320000100892,DORAL ACADEMY WEST PEBBLE,6435 W. PEBBLE,LAS VEGAS,NV,89139,NOT AVAILABLE,(702) 916-4320
7133,320006000565,SAVILLE ANTHONY MS,8101 N TORREY PINES DR,LAS VEGAS,NV,89131,NOT AVAILABLE,(702) 799-3460
40877,320048000706,MIGUEL SEPULVEDA ELEMENTARY SCHOOL,5075 ION DRIVE,SPARKS,NV,89436,NOT AVAILABLE,(775) 626-5257
44940,320006000609,ODYSSEY CHARTER SCHOOLS 9-12 HS,2251 S JONES BLVD,LAS VEGAS,NV,89146,NOT AVAILABLE,(702) 257-0578
63281,320000100751,BEACON ACADEMY OF NEVADA,7360 W. FLAMINGO ROAD,LAS VEGAS,NV,89147,NOT AVAILABLE,(702) 726-8600
66230,320006000493,CENTENNIAL HS,10200 CENTENNIAL PKWY,LAS VEGAS,NV,89149,NOT AVAILABLE,(702) 799-3440
67448,320036000566,BEATTY MIDDLE SCHOOL,301 N 4TH ST,BEATTY,NV,89003,NOT AVAILABLE,(775) 553-2902
69819,320006000656,HICKEY LILIAM LUJAN ES,2450 N HOLLYWOOD BLVD,LAS VEGAS,NV,89156,NOT AVAILABLE,(702) 799-1899
101824,320006000528,HECKETHORN HOWARD E ES,5150 WHISPERING SANDS DR,LAS VEGAS,NV,89131,NOT AVAILABLE,(702) 799-6690
105657,320000100921,SOMERSET ACADEMY ALIANTE,6475 VALLEY DRIVE,NORTH LAS VEGAS,NV,89084,NOT AVAILABLE,(702) 916-2327
21696,320006000847,HIGH DESERT STATE PRISON YOP,22010 COLD CREEK RD,INDIAN SPRINGS,NV,89018,NOT AVAILABLE,(702) 879-6824
23174,320048000216,GEORGE L. DILWORTH S.T.E.M ACADEMY,255 PRATER WAY,SPARKS,NV,89431,NOT AVAILABLE,(775) 353-5740
25131,320006000745,THE DELTA ACADEMY J-SHS,818 WEST BROOKS AVENUE,NORTH LAS VEGAS,NV,89030,NOT AVAILABLE,(702) 396-2252
29308,320009000121,GARDNERVILLE ELEMENTARY SCHOOL,1290 TOLER AVENUE,GARDNERVILLE,NV,89410,NOT AVAILABLE,(775) 782-5117
86047,320006000443,COLLEGE OF SO NV HS EAST,3200 E CHEYENNE AVE,N LAS VEGAS,NV,89030,NOT AVAILABLE,(702) 651-4070
32814,320048000224,INCLINE ELEMENTARY,915 NORTHWOOD BLVD,INCLINE VILLAGE,NV,89451,NOT AVAILABLE,(775) 832-4250
36337,320006000019,SEWELL C T ES,700 E LAKE MEAD DR,HENDERSON,NV,89015,NOT AVAILABLE,(702) 799-8940
37600,320009000122,GEORGE WHITTELL HIGH SCHOOL,240 WARRIOR WAY,ZEPHYR COVE,NV,89448,NOT AVAILABLE,(775) 588-2446
39657,320006000714,LEGACY HS,150 W DEER SPRINGS WAY,N LAS VEGAS,NV,89084,NOT AVAILABLE,(702) 799-1777
