OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
12194,402658001392,RYAL PUBLIC SCHOOL,110535 S 3960 RD,HENRYETTA,OK,74437,5048,(918) 652-7461
12920,403129001732,EWING HALSELL MS,226 NORTH MILLER,VINITA,OK,74301,4301,(918) 256-2402
16160,401020000441,DRUMRIGHT HS,510 SOUTH SKINNER AVENUE,DRUMRIGHT,OK,74030,4030,(918) 352-2152
17876,403024029787,MACARTHUR ES,2182 SOUTH 73RD EAST AVENUE,TULSA,OK,74129,4129,(918) 746-9140
18430,402451001285,PIONEER-PLEASANT VALE ES,6020 EAST WILLOW ROAD,ENID,OK,73701,3701,(580) 234-9628
18505,403024029789,MCCLURE ES,1770 EAST 61ST STREET,TULSA,OK,74136,4136,(918) 746-8760
19003,401059000483,WILL ROGERS ES,1215 EAST NINTH STREET,EDMOND,OK,73034,3034,(405) 340-2995
76,400079202822,TULSA HONOR ACADEMY CHARTER,209 S LAKEWOOD AVE,TULSA,OK,74112,4112,(918) 833-9420
4277,401722000796,LAVERNE HS,605 W JANE JAYROE BLVD,LAVERNE,OK,73848,3848,(580) 921-3361
4287,403213029707,WEBBERS FALLS HS,200 S STAND WAITE BLVD,WEBBERS FALLS,OK,74470,4470,(918) 464-2334
8106,401926000909,MASON ES,374006 E 1000 ROAD,MASON,OK,74859,4859,(918) 623-2218
9566,402418001276,PITTSBURG HS,200 WEST GRAND,PITTSBURG,OK,74560,4560,(918) 432-5513
9874,403237002728,WESTERN HEIGHTS 9TH GRADE CTR,8201 SOUTHWEST 44TH STREET,OKLAHOMA CITY,OK,73179,3179,(405) 350-3415
43662,400534000189,BRAY-DOYLE ES,1205 SOUTH BROOKS ROAD,MARLOW,OK,73055,3055,(580) 658-5070
43848,400813001958,WALLACE BYRD MS,108 WEST CEDAR,COALGATE,OK,74538,4538,(580) 927-3560
46042,400465000158,BLAIR HS,610 ZINN STREET,BLAIR,OK,73526,3526,(580) 563-2486
65337,401656002724,HERITAGE ELEMENTARY,600 SOUTH NINTH STREET,KINGFISHER,OK,73750,3750,(405) 375-3018
66045,401962000935,MEDFORD HS,301 NORTH MAIN STREET,MEDFORD,OK,73759,3759,(580) 395-2392
66287,403102001719,VELMA-ALMA ES,901 MAIN STREET,VELMA,OK,73491,3491,(580) 203-3702
68802,400615000237,CADDO ES,600 S MCPHERREN,CADDO,OK,74729,4729,(580) 367-2515
101582,400939002681,DALE MS,300 SMITH AVENUE,DALE,OK,74851,4851,(405) 964-2799
101620,402277001139,U. S. GRANT HS,5016 SOUTH PENNSYLVANIA AVENUE,OKLAHOMA CITY,OK,73119,3119,(405) 587-2200
102769,400080202908,NORTH ROCK CREEK INTERMEDIATE,42400 GARRETT'S LAKE ROAD,SHAWNEE,OK,74804,4804,(405) 275-3473
102790,402277002885,CAPITOL HILL MS,2717 S ROBINSON,OKLAHOMA CITY,OK,73109,3109,(405) 587-1800
106038,403024002922,WILL ROGERS COLLEGE MS,3909 EAST FIFTH PLACE,TULSA,OK,74112,4112,(918) 833-9000
21423,402334001238,PADEN HS,315 W 10TH,PADEN,OK,74860,4860,(405) 932-5053
22595,403348001846,RANCHWOOD ES,607 ANNAWOOD DRIVE,YUKON,OK,73099,3099,(405) 354-6616
22804,401870000887,MADILL HS,601 WILDCAT WAY,MADILL,OK,73446,3446,(580) 795-3303
25720,401548000734,INOLA MS,803 E COMMERCIAL STREET,INOLA,OK,74036,4036,(918) 543-2434
28285,401224000576,FRINK-CHAMBERS PUBLIC SCHOOL,485 FRINK RD,MCALESTER,OK,74501,4501,(918) 423-2434
80115,401509000706,HOOKER ES,502 N JEFFERSON,HOOKER,OK,73945,3945,(580) 652-2463
81173,402433001281,PLEASANT GROVE PUBLIC SCHOOL,1927 EAST WALNUT STREET,SHAWNEE,OK,74801,4801,(405) 275-6092
83443,400957000414,DEER CREEK MS,2601 NW 234TH ST,EDMOND,OK,73012,3012,(405) 348-4830
84937,401209000847,FOYIL JHS,1700 EAST 4TH STREET,FOYIL,OK,74031,4031,(918) 342-1782
85627,401827000874,LONE WOLF HS,1001 7TH ST,LONE WOLF,OK,73655,3655,(580) 846-9091
85662,400078200609,GRAHAM HS,116118 HWY 84,WELEETKA,OK,74880,4880,(918) 652-8935
86015,402277001159,MARK TWAIN ES,2451 WEST MAIN STREET,OKLAHOMA CITY,OK,73107,3107,(405) 587-3700
88357,402286029655,OLIVE HS,9352 SOUTH 436TH WEST AVENUE,DRUMRIGHT,OK,74030,4030,(918) 352-9568
30092,402820001494,SPIRO MS,600 WEST BROADWAY STREET,SPIRO,OK,74959,4959,(918) 962-2488
31248,402328002690,STONE CANYON ES,7305 N 177TH E AVE,OWASSO,OK,74055,4055,(918) 274-1634
31933,402961029610,CROSS TIMBERS ES,1111 WEST HIGHLAND STREET,TECUMSEH,OK,74873,4873,(405) 598-3771
34705,402586001373,RINGLING HS,706 UNIT A N 5TH STREET,RINGLING,OK,73456,3456,(580) 662-2386
36647,401467000687,MIDWAY ES,316 SOUTH PINE,COUNCIL HILL,OK,74428,4428,(918) 474-3434
38508,401461000685,HINTON HS,708 N BROADWAY,HINTON,OK,73047,3047,(405) 542-3235
38514,400543000192,BRIGGS PUBLIC SCHOOL,17210 SOUTH 569 ROAD,TAHLEQUAH,OK,74464,4464,(918) 456-4221
39149,402673002005,SALINA MS,909 NORTH SALTWELL,SALINA,OK,74365,4365,(918) 434-5311
90553,403348002723,YUKON MS,801 GARTH BROOKS BOULEVARD,YUKON,OK,73099,3099,(405) 354-5274
91278,400756002342,CHICKASHA MS,1000 S 9TH ST,CHICKASHA,OK,73018,3018,(405) 222-6530
95624,401452000682,HILLDALE LOWER ES,3301 GRANDVIEW PARK BOULEVARD,MUSKOGEE,OK,74403,4403,(918) 683-9167
95634,403024029782,KERR ES,202 SOUTH 117TH EAST AVENUE,TULSA,OK,74128,4128,(918) 746-9580
53904,402892001518,STRAIGHT PUBLIC SCHOOL,RURAL ROUTE 1 # 89,GUYMON,OK,73942,3942,(580) 652-2232
54761,401275000595,GLOVER PUBLIC SCHOOL,701 LAVENDER RD,BROKEN BOW,OK,74728,4728,(580) 420-3232
56539,400558000214,BRUSHY PUBLIC SCHOOL,100968 S 4650 RD,SALLISAW,OK,74955,4955,(918) 775-4458
56873,400078502792,INSIGHT SCHOOL OF OKLAHOMA HS,1156 S DOUGLAS BLVD,MIDWEST CITY,OK,73130,3130,(405) 835-2133
59613,402547001358,CANEY VALLEY MS,696 WYANDOTTE AVE,RAMONA,OK,74061,4061,(918) 536-2705
72789,401368000649,HANNA ES,301 E SECOND ST,HANNA,OK,74845,4845,(918) 657-2527
73268,401809000869,LONE GROVE MS,6362 MERIDIAN RD,LONE GROVE,OK,73443,3443,(580) 657-3131
75499,401218000574,FREEDOM HS,1138 EAGLE PASS,FREEDOM,OK,73842,3842,(580) 621-3272
78107,402277001115,BODINE ES,5301 SOUTH BRYANT AVENUE,OKLAHOMA CITY,OK,73129,3129,(405) 587-2500
78440,401788002206,LITTLE AXE HS,2000 168TH AVENUE NORTHEAST,NORMAN,OK,73026,3026,(405) 329-1612
1000,400717000282,CENTRAL HIGH HS,274801 BRONCHO RD,MARLOW,OK,73055,3055,(580) 658-2929
5110,402904001524,STROTHER HS,36085 EW 1140,SEMINOLE,OK,74868,4868,(405) 382-4014
5739,401489000702,HOLLY CREEK PUBLIC SCHOOL,401 HOLLY CREEK ROAD,BROKEN BOW,OK,74728,4728,(580) 420-6968
6017,400075302851,DOVE SCIENCE ACADEMY TULSA HS,4115 S 100TH E AVE,TULSA,OK,74146,4146,(918) 576-6719
8485,401725002393,CENTRAL MS,1201 NW FORT SILL BLVD,LAWTON,OK,73507,3507,(580) 355-8544
9192,401326000615,GRANDVIEW PUBLIC SCHOOL,# 277062 E 1840 RD,COMANCHE,OK,73529,3529,(580) 439-2467
42927,403024001614,EAST CENTRAL JHS,12121 EAST 21ST STREET,TULSA,OK,74129,4129,(918) 746-9500
46099,401809001120,LONE GROVE PRIMARY ES,54 FIRST STREET,LONE GROVE,OK,73443,3443,(580) 657-3131
48255,401479000694,HOLDENVILLE HS,112 E 9TH ST,HOLDENVILLE,OK,74848,4848,(405) 379-3387
48734,402493001313,PRAGUE HS,1100 BLUE BELL,PRAGUE,OK,74864,4864,(405) 567-2281
49066,402529001301,WESTERN OAKS MS,7200 NORTHWEST 23RD STREET,BETHANY,OK,73008,3008,(405) 789-4434
49966,401065000486,HILLCREST ES,1302 S MILES,EL RENO,OK,73036,3036,(405) 262-2396
61256,400468000159,BLANCHARD ES,1620 NORTH MAIN STREET,BLANCHARD,OK,73010,3010,(405) 485-3394
63208,400906000380,CENTRAL OAK ES,1901 SOUTHEAST 15TH STREET,OKLAHOMA CITY,OK,73129,3129,(405) 677-5211
64820,401659000774,KINGSTON HS,400 NE 3RD,KINGSTON,OK,73439,3439,(580) 564-2384
67140,402757001457,SHAWNEE EC CTR,1831 AIRPORT DRIVE,SHAWNEE,OK,74804,4804,(405) 273-3388
68719,400687002309,HELEN PAUL LEARNING CTR,400 SOUTH CHEROKEE STREET,CATOOSA,OK,74015,4015,(918) 266-8643
68741,402907001528,STROUD HS,1096 E 7TH STREET,STROUD,OK,74079,4079,(918) 968-2542
69070,401416000668,HEAVENER HS,EAST 4TH AND G STREET,HEAVENER,OK,74937,4937,(918) 653-4307
69954,400685001901,OKEMAH MS,204 WEST DATE STREET,OKEMAH,OK,74859,4859,(918) 623-1874
52035,402754001453,SHATTUCK HS,602 SOUTH HICKORY,SHATTUCK,OK,73858,3858,(580) 938-2586
52979,400991000432,DICKSON UPPER ES,4762 STATE HIGHWAY 199,ARDMORE,OK,73401,3401,(580) 223-1443
53855,400774002725,CATALAYAH ES,2700 KING RD,CLAREMORE,OK,74019,4019,(918) 923-4307
54106,400924002825,CUSHING LOWER ES,1601 SOUTH HARMONY ROAD,CUSHING,OK,74023,4023,(918) 225-4697
55491,401986000674,WILL ROGERS MS,504 GOODRICH BOULEVARD,MIAMI,OK,74354,4354,(918) 542-5588
56856,401092002717,PRAIRIE VIEW ES,4700 W WILLOW ROAD,ENID,OK,73703,3703,(580) 366-8000
91589,401929000911,MAUD ES,310 WEST YOUNG STREET,MAUD,OK,74854,4854,(405) 374-2416
93276,402097001033,CHEROKEE ES,2400 ESTELLE ST,MUSKOGEE,OK,74401,4401,(918) 684-3890
94397,401704000790,LANE PUBLIC SCHOOL,601 W MCGEE CREEK RD,LANE,OK,74555,4555,(580) 889-2743
97480,400351000090,BALKO HS,RURAL ROUTE 1 # 37,BALKO,OK,73931,3931,(580) 646-3385
84900,402010029671,MINCO HS,701 SW 3RD STREET,MINCO,OK,73059,3059,(405) 352-4377
85589,400822000342,WARD ES EAST,407 E WARD RD,COLBERT,OK,74733,4733,(580) 296-2198
85953,400501005012,APACHE MS,101 POHLEMAN,APACHE,OK,73006,3006,(580) 588-5227
86101,401263000590,GERONIMO HS,800 WEST MAIN STREET,GERONIMO,OK,73543,3543,(580) 355-3160
87704,403024029769,CARNEGIE ES,4309 EAST 56TH STREET,TULSA,OK,74135,4135,(918) 833-9440
88131,401995000951,CLEVELAND BAILEY ES,3301 SUNVALLEY DRIVE,MIDWEST CITY,OK,73110,3110,(405) 739-1656
101374,400357029727,BARNSDALL HS,200 S 8TH ST,BARNSDALL,OK,74002,4002,(918) 847-2721
102771,400080302907,ACADEMY OF SEMINOLE CHARTER ES,600 E STROTHERS AVE,SEMINOLE,OK,74868,4868,(405) 380-9010
102793,402277002893,SOUTHEAST MS,6700 SOUTH HUDSON,OKLAHOMA CITY,OK,73139,3139,(405) 587-6750
106034,402277002897,WHEELER MS,501 SOUTHEAST 25TH STREET,OKLAHOMA CITY,OK,73129,3129,(405) 587-7000
10412,400077802719,OKLA. VIRTUAL CHARTER ACAD ES,1160 S DOUGLAS BLVD,MIDWEST CITY,OK,73130,3130,(405) 259-9478
10416,402277002304,VAN BUREN ES,2700 SOUTHWEST 40TH STREET,OKLAHOMA CITY,OK,73119,3119,(405) 587-2000
10503,403150001744,WANETTE ES,502 NORTH MARTIN,WANETTE,OK,74878,4878,(405) 383-2222
14546,401537000723,IDABEL HS,901 LINCOLN ROAD,IDABEL,OK,74745,4745,(580) 286-7693
14969,400685001111,OKEMAH HS,704 EAST DATE STREET,OKEMAH,OK,74859,4859,(918) 623-1874
15112,401731000843,LEACH PUBLIC SCHOOL,55979 S 530 RD,ROSE,OK,74364,4364,(918) 868-2277
16283,401059002396,CENTENNIAL ES,4400 NORTH COLTRANE,EDMOND,OK,73034,3034,(405) 340-2275
16845,403237029718,GREENVALE ES,901 GREENVALE ROAD,OKLAHOMA CITY,OK,73127,3127,(405) 350-3470
17810,400075102682,DEBORAH BROWN COMMUNITY SCHOOL,2 SOUTH ELGIN AVENUE,TULSA,OK,74120,4120,(918) 425-1407
18684,402097001999,CREEK ES,200 S COUNTRY CLUB RD,MUSKOGEE,OK,74403,4403,(918) 684-3880
31281,402817001491,SPERRY MS,400 WEST MAIN STREET,SPERRY,OK,74073,4073,(918) 288-7213
31419,401545029746,INDIANOLA HS,900 SOUTH HWY 113,INDIANOLA,OK,74442,4442,(918) 558-0800
32251,403024029794,SALK ES,7625 EAST 58TH STREET,TULSA,OK,74145,4145,(918) 833-9500
32758,402664001395,SOUTH COFFEYVILLE ES,600 E 5TH,SOUTH COFFEYVILLE,OK,74072,4072,(918) 255-6087
33046,401944000927,WILL ROGERS ES,1200 EAST SOUTH STREET,MCALESTER,OK,74501,4501,(918) 423-4542
34278,402706001432,SAYRE HS,800 E HANNAH DR,SAYRE,OK,73662,3662,(580) 928-5576
36237,400975000419,DEPEW HS,725 SIMMS ST,DEPEW,OK,74028,4028,(918) 324-5543
72918,403024029798,WRIGHT ES,1110 EAST 45TH PLACE,TULSA,OK,74105,4105,(918) 746-8920
74354,401632000756,KENWOOD PUBLIC SCHOOL,48625 SOUTH 502 ROAD,SALINA,OK,74365,4365,(918) 434-5799
74914,400076902742,TULSA LEGACY CHARTER SCHL INC,105 EAST 63RD STREET NORTH,TULSA,OK,74126,4126,(918) 794-1442
75591,400402000126,BERRYHILL ES SOUTH,3128 SOUTH 63RD WEST AVENUE,TULSA,OK,74107,4107,(918) 445-6041
76054,400300000051,ANADARKO EAST ES,107 SOUTHEAST FIFTH STREET,ANADARKO,OK,73005,3005,(405) 247-2496
77168,402337002780,PANAMA ES,1101 KENTUCKY AVE,PANAMA,OK,74951,4951,(918) 963-0403
77295,401392000675,HARTSHORNE MS,520 SOUTH FIFTH STREET,HARTSHORNE,OK,74547,4547,(918) 297-2433
78015,403033001689,TURPIN HS,316 S LEE,TURPIN,OK,73950,3950,(580) 778-3333
79030,401092000506,ADAMS ES,2200 EAST RANDOLPH AVENUE,ENID,OK,73701,3701,(580) 366-7600
22441,401092000511,EISENHOWER ES,1301 FOX DRIVE,ENID,OK,73703,3703,(580) 366-8100
23976,402397001272,PIEDMONT HS,1055 EDMOND ROAD NORTHWEST,PIEDMONT,OK,73078,3078,(405) 373-5011
24201,402532001350,QUAPAW ES,305 WEST FIRST STREET,QUAPAW,OK,74363,4363,(918) 674-2236
24940,401890000897,MAPLE PUBLIC SCHOOL,904 SOUTH MAPLE ROAD,CALUMET,OK,73014,3014,(405) 262-5647
26293,400750000300,CHEYENNE HS,910 E BUSTER AVENUE,CHEYENNE,OK,73628,3628,(580) 497-3371
26295,400885000374,DONALD P SLOAT JHS,30080 S HWY 51,COWETA,OK,74429,4429,(918) 486-2127
27181,403117029664,VICI HS,301 NORTH MILLER STREET,VICI,OK,73859,3859,(580) 995-4251
28993,402859001498,STERLING ES,400 S TIGER BLVD,STERLING,OK,73567,3567,(580) 365-4166
29694,401116000529,EUFAULA HS,1 ANDERSON BELL DR,EUFAULA,OK,74432,4432,(918) 689-2556
70664,402784001479,SMITHVILLE HS,339 MAIN ST,SMITHVILLE,OK,74957,4957,(580) 244-3281
