OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
11293,410459001140,STELLA MAYFIELD ELEMENTARY SCHOOL,1111 DIVISION ST,ELGIN,OR,97827,NOT AVAILABLE,(541) 437-2321
14294,410198001758,WILLIAM E MILLER ELEMENTARY,300 NW CROSBY DR,BEND,OR,97701,NOT AVAILABLE,(541) 355-2500
617,410198001839,PACIFIC CREST MIDDLE SCHOOL,3030 NW ELWOOD LANE,BEND,OR,97701,NOT AVAILABLE,(541) 355-7800
1312,410474000548,MCCORNACK ELEMENTARY SCHOOL,1968 BRITTANY DR,EUGENE,OR,97405,1399,(541) 790-5800
2477,411161000313,SOUTH UMPQUA HIGH SCHOOL,501 NW CHADWICK LN,MYRTLE CREEK,OR,97457,9797,(541) 863-3118
2753,410567000303,GLIDE MIDDLE SCHOOL,18990 N UMPQUA HWY,GLIDE,OR,97443,9744,(541) 496-3516
2919,411004000947,WEST SYLVAN MIDDLE SCHOOL,8111 SW WEST SLOPE DR,PORTLAND,OR,97225,3831,(503) 916-5690
43020,410674000451,MADRAS ELEMENTARY SCHOOL,215 SE 10TH ST,MADRAS,OR,97741,1617,(541) 475-3520
44710,410690001797,SUNNY WOLF CHARTER SCHOOL,100 RUTH AVE,WOLF CREEK,OR,97497,NOT AVAILABLE,(541) 866-2735
60886,410708000512,KLAMATH UNION HIGH SCHOOL,1300 MONCLAIRE ST,KLAMATH FALLS,OR,97601,6293,(541) 883-4710
61207,411224001193,METZGER ELEMENTARY SCHOOL,10350 SW LINCOLN ST,TIGARD,OR,97223,6637,(503) 431-4600
67936,411365000320,YONCALLA HIGH SCHOOL,292 FIFTH ST,YONCALLA,OR,97499,NOT AVAILABLE,(541) 849-2175
69897,410855000839,JOHN F KENNEDY HIGH SCHOOL,890 E MARQUAM ST,MT ANGEL,OR,97362,9704,(503) 845-6128
69998,411145001769,THE COMMUNITY ROOTS SCHOOL,229 EUREKA AVE,SILVERTON,OR,97381,2217,(503) 874-4107
102099,410987000527,PLEASANT HILL ELEMENTARY SCHOOL,36386 HWY 58,PLEASANT HILL,OR,97455,9614,(541) 736-0400
106058,410723001873,HARMONY ACADEMY,2507 CHRISTIE DRIVE,LAKE OSWEGO,OR,97034,NOT AVAILABLE,(503) 496-3929
21156,410728000517,FREMONT/HAY ELEMENTARY SCHOOL,500 S I ST,LAKEVIEW,OR,97630,1642,(541) 947-2136
22352,410249000363,HINES MIDDLE SCHOOL,500 W BARNES AVE,HINES,OR,97738,NOT AVAILABLE,(541) 573-6436
23045,411071000289,FIR GROVE ELEMENTARY SCHOOL,1360 W HARVARD AVE,ROSEBURG,OR,97470,2865,(541) 440-4085
26332,410192001226,RIDGEWOOD ELEMENTARY SCHOOL,10100 SW INGLEWOOD ST,PORTLAND,OR,97225,5034,(503) 356-2440
27110,410474001593,NETWORK CHARTER SCHOOL,2550 PORTLAND ST,EUGENE,OR,97405,3127,(541) 344-1229
27424,410872001271,EWING YOUNG ELEMENTARY SCHOOL,17600 NE NORTH VALLEY RD,NEWBERG,OR,97132,6547,(503) 554-4750
