OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
14603,720003000490,RAFAELINA E. LEBRON FLORES,URB SAN MARTIN CALLE PRICIPAL FINAL,PATILLAS,PR,723,NOT AVAILABLE,(787) 839-3419
15053,720003000314,ESCUELA DE BELLAS ARTES (ESPECIALIZADA),CARR 662 SECT LOS LLANOS BO SANTANA,ARECIBO,PR,614,NOT AVAILABLE,(787) 881-2882
18538,720003000621,JORGE ROSARIO DEL VALLE,CARR 181 KM 12 BO ESPINO,SAN LORENZO,PR,754,NOT AVAILABLE,(787) 736-5830
44399,720003001850,LLANOS DEL SUR,CALLE 3 PARC LLANOS DEL SUR BO COTO LAUREL,PONCE,PR,780,NOT AVAILABLE,(787) 848-1105
46897,720003000157,SU CERTENEJAS II,CARR 172 KM 8 HM 1 BO BAYAMON SECTOR CERTENEJAS I,CAYEY,PR,739,NOT AVAILABLE,(787) 739-6195
47070,720003000749,SU CONCHITA IGUARTUA DE SUAREZ (SU ADAMS),CARR 2 KM 1022 BO. CAIMITAL ALTO,AGUADILLA,PR,603,NOT AVAILABLE,(787) 891-9170
49878,720003000472,SU PEDRO RIVERA MOLINA,CARR 183 KM 16.3 VALENCIANO ABAJO,JUNCOS,PR,777,NOT AVAILABLE,(787) 736-4148
61341,720003000233,HAYDEE CABALLERO,URB VILLA DEL REY CALLE 12 A 4TA SECC,CAGUAS,PR,727,NOT AVAILABLE,(787) 744-4575
65499,720003000530,DR PEDRO ALBIZU CAMPOS,CARR 188 HM 3 BO SAN ISIDRO,CANOVANAS,PR,745,NOT AVAILABLE,(787) 876-4610
67453,720003000253,DR. JUAN JOSE OSUNA,CARR 1 KM 38 HM 5 BO. TURABO SECTOR VILLA ESPERA,CAGUAS,PR,725,NOT AVAILABLE,(787) 747-8629
101165,720003000930,SU EUGENIO NAZARIO SOTO,CARR 702 KM 2 HM 3 BO CUYON,COAMO,PR,769,NOT AVAILABLE,(787) 825-5759
22994,720003001637,GABRIELA MISTRAL,CARR 135 KM 65.6,LARES,PR,669,NOT AVAILABLE,(787) 829-1198
24393,720003000410,ILEANA DE GRACIA (SUPERIOR NUEVA),CARR 2 KM 31 HM 8 SECT BAJURAS,VEGA ALTA,PR,692,NOT AVAILABLE,(787) 270-3355
25557,720003001214,JOSE HORACIO CORA,CARR 753 KM 2 HM 2.2 BDA MARIN,ARROYO,PR,714,NOT AVAILABLE,(787) 839-4030
80948,720003000440,MEDIANIA ALTA ELEMENTAL,CARR 187 KM 5 HM 6 BO MEDIANIA ALTA,LOIZA,PR,772,NOT AVAILABLE,(787) 876-1200
82092,720003000045,SU JOSE R. BARRERAS,CARR 159 KM 5 HM 6,MOROVIS,PR,687,NOT AVAILABLE,(787) 862-2814
86522,720003001233,JOSE NEVAREZ LOPEZ,CALLE 33 NUEVA BO SAN JOSE,TOA BAJA,PR,951,NOT AVAILABLE,(787) 870-5246
89632,720003002051,INES MARIA MENDOZA,URB VILLAS DE CASTRO CALLE 10 ESQ 11,CAGUAS,PR,727,NOT AVAILABLE,(787) 744-6447
38102,720003000814,SU CARMEN VIGNALS ROSARIO,CARR 101 KM 18 HM 5 BO BOQUERON,CABO ROJO,PR,623,NOT AVAILABLE,(787) 851-1047
94682,720003000475,CARMEN PILAR SANTOS,CALLE PROGRESO #50 BDA PATAGONIA,HUMACAO,PR,791,NOT AVAILABLE,(787) 852-2065
97028,720003000055,FRANCISCO GARCIA BOYRIE,URB. COSTA AZUL CALLE 9,GUAYAMA,PR,785,NOT AVAILABLE,(787) 864-3879
98973,720003000230,JUSTINA VAZQUEZ MENDOZA,URB MARIOLGA CALLE SAN ANTONIO ESQ SAN JOSE,CAGUAS,PR,725,NOT AVAILABLE,(787) 743-6069
50619,720003001833,JOSE SANTOS QUINONEZ,CALLE 21 JARDINES PALMAREJO BO SAN ISIDRO,CANOVANAS,PR,745,NOT AVAILABLE,(787) 876-4493
53186,720003001863,ELPIDIO H. RIVERA,URB. RIO CRISTAL CALLE ROBERTO COLE 510,MAYAGUEZ,PR,682,NOT AVAILABLE,(787) 833-5560
54241,720003000690,AURORA MENDEZ CHARNECO,CALLE PEDRO ALBISUS CAMPOS,SAN SEBASTIAN,PR,685,NOT AVAILABLE,(787) 896-1072
55258,720003001341,SAN AGUSTIN,CALLE 6 EXT. SAN AGUSTIN,SAN JUAN,PR,924,NOT AVAILABLE,(787) 765-6946
57501,720003000426,CENTRO DE ADIESTRAMIENTO Y BELLAS ARTES,EDIF 608 BASE RAMEY,AGUADILLA,PR,604,NOT AVAILABLE,(787) 890-2008
75988,720003000033,JAIME A. COLLAZO DEL RIO,CARR 159 KM O HM 7 AVE COROZAL BO PUEBLO,MOROVIS,PR,687,NOT AVAILABLE,(787) 862-2300
78100,720003001451,SU DEMETRIO RIVERA,CARR 802 BO PALMARITO,COROZAL,PR,783,NOT AVAILABLE,(787) 859-4111
78695,720003001930,JUAN MORELL CAMPOS (MUSICA ),CALLE LOLITA TIZOL #20,PONCE,PR,731,NOT AVAILABLE,(787) 842-3974
79933,720003001277,LUIS RODRIGUEZ CABRERO,CALLE CORONA RES LUIS LLORENS TORRES,SAN JUAN,PR,921,NOT AVAILABLE,(787) 727-6095
2266,720003001589,MEDARDO CARAZO,CALLLE CRUZ FINAL # 50,TRUJILLO ALTO,PR,977,NOT AVAILABLE,(787) 760-6575
9748,720003000172,BENIGNO CARRION,CALLE LUIS BARRERAS FINAL,CAYEY,PR,736,NOT AVAILABLE,(787) 738-3087
42196,720003001006,JOSE PADIN,CARR 1 KM 83 HM 0 HACIA ALBERGUE OLIMPICO,SALINAS,PR,751,NOT AVAILABLE,(787) 824-7955
45039,720003000564,SABINO RIVERA BERRIOS,CARR 723 KM 7.4 BARRIO PULGUILLA,COAMO,PR,769,NOT AVAILABLE,(787) 857-4595
47363,720003001011,MANUEL MARTIN MONSERRATE,CALLE BALDORIOTY DE CASTRO #6,SANTA ISABEL,PR,757,NOT AVAILABLE,(787) 845-3160
