OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
10145,510189002124,MEHFOUD ELEM,8320 BUFFIN RD,RICHMOND,VA,23231,NOT AVAILABLE,(804) 795-7020
10224,510126002008,DAVIS CAREER CENTER,7731 LEESBURG PIKE,FALLS CHURCH,VA,22043,NOT AVAILABLE,(703) 714-5600
10283,510339002310,PEAK VIEW ELEM,641 LAWYER RD.,PENN LAIRD,VA,22846,NOT AVAILABLE,(540) 289-7510
12733,510186002150,THOMAS HARRISON MIDDLE,1311 W. MARKET STREET,HARRISONBURG,VA,22801,NOT AVAILABLE,(540) 434-1949
13136,510306001271,PRINCE EDWARD COUNTY HIGH,35 EAGLE DR.,FARMVILLE,VA,23901,9011,(434) 315-2130
13646,510390001745,HOLSTON HIGH,21308 MONROE RD,DAMASCUS,VA,24236,NOT AVAILABLE,(276) 739-4000
14025,510324001383,MARY MUNFORD ELEM,211 WESTMORELAND STREET,RICHMOND,VA,23226,1399,(804) 780-6267
16196,510186000782,HARRISONBURG HIGH,1001 GARBERS CHURCH ROAD,HARRISONBURG,VA,22801,NOT AVAILABLE,(540) 433-2652
16321,510132000608,H.M. PEARSON ELEM,9347 BASTABLE MILL RD,CATLETT,VA,20119,NOT AVAILABLE,(540) 788-9071
1772,510126002272,MCNAIR ELEM,2499 THOMAS JEFFERSON DR.,HERNDON,VA,20171,NOT AVAILABLE,(703) 793-4800
3554,510151000661,JAMES MONROE HIGH,2300 WASHINGTON AVE,FREDERICKSBURG,VA,22401,3340,(540) 372-1100
4140,510126000429,BELLE VIEW ELEM,6701 FORT HUNT RD,ALEXANDRIA,VA,22307,NOT AVAILABLE,(703) 660-8300
4904,510346002046,WEST SALEM ELEM,520 N BRUFFEY ST,SALEM,VA,24153,2598,(540) 387-2503
5014,510084003041,PHOENIX CENTER,10101 COURTHOUSE ROAD,CHESTERFIELD,VA,23832,NOT AVAILABLE,(804) 768-6165
8211,510036000157,STEWARTSVILLE ELEM,1138 WILDCAT RD,GOODVIEW,VA,24095,NOT AVAILABLE,(540) 890-2174
8685,510183001996,SOUTH ANNA ELEM,13122 WALTONS TAVERN ROAD,MONTPELIER,VA,23192,NOT AVAILABLE,(804) 883-6089
9208,510313001294,ELIZABETH VAUGHAN ELEM,2200 YORK DR,WOODBRIDGE,VA,22191,NOT AVAILABLE,(703) 494-3220
9628,510177001848,HALIFAX COUNTY HIGH,HIGH SCHOOL CIR,SOUTH BOSTON,VA,24592,NOT AVAILABLE,(434) 572-4977
45245,510309001277,L.L. BEAZLEY ELEM,6700 COURTHOUSE RD,PRINCE GEORGE,VA,23875,NOT AVAILABLE,(804) 733-2745
46013,510366002984,STAFFORD ACADEMY FOR TECHNOLGY (STAT),31 STAFFORD AVENUE,STAFFORD,VA,22554,NOT AVAILABLE,(540) 658-6672
46142,510408002050,UNION MIDDLE,3137 SECOND AVENUE EAST,BIG STONE GAP,VA,24219,NOT AVAILABLE,(276) 523-0195
47034,510225000936,WATERFORD ELEM,15513 LOYALTY RD,WATERFORD,VA,20197,NOT AVAILABLE,(540) 751-2460
47180,510084002097,EVERGREEN ELEM,1701 EVERGREEN EAST PKWY.,MIDLOTHIAN,VA,23114,NOT AVAILABLE,(804) 378-2400
