OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
11001,550411000446,YAHARA ELEMENTARY,8643 RAYMOND RD,EDGERTON,WI,53534,NOT AVAILABLE,(608) 884-4931
1613,551254001658,KICKAPOO HIGH,S6520 STATE HIGHWAY 131,VIOLA,WI,54664,8528,(608) 627-0103
2392,551599002091,WEST HIGH,11400 W CENTER ST,WAUWATOSA,WI,53222,4213,(414) 773-3000
3091,551602002738,WAUZEKA MIDDLE,301 E MAIN ST,WAUZEKA,WI,53826,9671,(608) 875-5311
5287,550438000473,ROYALL INTERMEDIATE,1501 ACADEMY ST,ELROY,WI,53929,1011,(608) 463-7133
6125,551398003092,EAGLES' WINGS VIRTUAL CHARTER SCHOOL,8993 E BALDWIN AVE,SOLON SPRINGS,WI,54873,8144,(715) 378-2263
7346,550642000698,HIGHLAND COMMUNITY ELEMENTARY,1030 CARDINAL DR,HIGHLAND,WI,53543,NOT AVAILABLE,(608) 929-4525
8036,551119002309,WEBSTER STANLEY ELEMENTARY,915 HAZEL ST,OSHKOSH,WI,54901,4057,(920) 424-0460
8626,551140001520,PARIS ELEMENTARY,1901 176TH AVE,KENOSHA,WI,53144,7615,(262) 859-2350
41417,551038002344,HUMKE ELEMENTARY,500 S SECTION ST,NEKOOSA,WI,54457,1499,(715) 886-8010
42703,551122001507,OSSEO-FAIRCHILD ELEMENTARY,13025 15TH ST,OSSEO,WI,54758,NOT AVAILABLE,(715) 597-3196
43568,551074001399,HORACE MANN HIGH,325 MCKINLEY ST,NORTH FOND DU LAC,WI,54937,NOT AVAILABLE,(920) 929-3740
43789,551584001203,WAUPACA LEARNING CENTER ELEMENTARY,1515 SHOEMAKER RD,WAUPACA,WI,54981,2093,(715) 258-4141
44347,551317002885,D C EVEREST IDEA SCHOOL,4704 CAMP PHILLIPS RD,WESTON,WI,54476,1573,(715) 359-6561
45078,550174000213,BRODHEAD MIDDLE,2100 W 9TH AVE,BRODHEAD,WI,53520,2000,(608) 897-2184
45392,550273000312,LITTLE STARS PRE-SCHOOL,202 WEST DOLF ST,COLBY,WI,54421,NOT AVAILABLE,(715) 223-2044
48174,550075000099,UNITY MIDDLE,1908 150TH ST,BALSAM LAKE,WI,54810,7267,(715) 825-2101
48178,551596002071,PARKSIDE SCHOOL,300 S 16TH AVE,WAUTOMA,WI,54982,NOT AVAILABLE,(920) 787-4577
48929,551062002757,NR4KIDS,1011 E 11TH ST,NEW RICHMOND,WI,54017,2591,(715) 243-7403
65543,550105000139,CONVERSE ELEMENTARY,1602 TOWNLINE AVE,BELOIT,WI,53511,3248,(608) 361-2105
66058,551581000269,WAUNAKEE HERITAGE ELEMENTARY,501 SOUTH ST,WAUNAKEE,WI,53597,1419,(608) 849-2030
66144,550468000505,THEISEN MIDDLE,525 E PIONEER RD,FOND DU LAC,WI,54935,6499,(920) 929-2850
66890,550276000313,COLEMAN ELEMENTARY,347 BUSINESS 141 N,COLEMAN,WI,54112,NOT AVAILABLE,(920) 897-2525
67216,551401001825,SOMERSET HIGH,645 SUNRISE DR,SOMERSET,WI,54025,NOT AVAILABLE,(715) 247-3355
67475,550444000478,EVANSVILLE HIGH,640 S 5TH ST,EVANSVILLE,WI,53536,NOT AVAILABLE,(608) 882-4600
