OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE
18265,560198000117,MILLER ELEMENTARY,3501 EVANS AVENUE,CHEYENNE,WY,82001,NOT AVAILABLE,(307) 771-2376
60477,560609000342,UPTON MIDDLE SCHOOL,802 JUNIPER,UPTON,WY,82730,0470,(307) 468-9331
66736,560569500361,SHERIDAN JUNIOR HIGH SCHOOL,500 LEWIS STREET,SHERIDAN,WY,82801,NOT AVAILABLE,(307) 672-9745
69146,560214000129,DRY CREEK ELEMENTARY,3545 HIGHWAY 59,DOUGLAS,WY,82633,NOT AVAILABLE,(307) 358-2351
21548,560214000553,DOUGLAS INTERMEDIATE SCHOOL,901 WEST YELLOWSTONE,DOUGLAS,WY,82633,NOT AVAILABLE,(307) 358-5250
22613,560103000026,RAWLINS HIGH SCHOOL,1401 COLORADO,RAWLINS,WY,82301,NOT AVAILABLE,(307) 328-9280
85817,560198000105,DEMING ELEMENTARY,715 WEST 5TH AVE,CHEYENNE,WY,82001,NOT AVAILABLE,(307) 771-2400
88564,560237000405,SUNDANCE SECONDARY SCHOOL,1016 EAST CLEVELAND,SUNDANCE,WY,82729,NOT AVAILABLE,(307) 283-1007
56437,560198000567,MEADOW LARK ELEMENTARY,6325 CHIEF WASHAKIE AVENUE,CHEYENNE,WY,82009,NOT AVAILABLE,(307) 771-2260
7195,560509000272,GLENDO ELEMENTARY,305 PAIGE STREET,GLENDO,WY,82213,NOT AVAILABLE,(307) 735-4471
45609,560451000240,FT. CASPAR ACADEMY,4100 WEST 38TH STREET,CASPER,WY,82604,NOT AVAILABLE,(307) 253-3400
46906,560451000236,CREST HILL ELEMENTARY,4445 SOUTH POPLAR,CASPER,WY,82601,NOT AVAILABLE,(307) 253-4200
66722,560073000014,VELMA LINFORD ELEMENTARY,120 SOUTH JOHNSON,LARAMIE,WY,82070,NOT AVAILABLE,(307) 721-4439
69163,560147000019,PRONGHORN ELEMENTARY,3005 OAKCREST DRIVE,GILLETTE,WY,82718,NOT AVAILABLE,(307) 682-1676
52037,560423000214,NIOBRARA COUNTY HIGH SCHOOL,702 WEST 5TH STREET,LUSK,WY,82225,NOT AVAILABLE,(307) 334-3320
87733,560569500397,MEADOWLARK ELEMENTARY,1410 DESMET AVENUE,SHERIDAN,WY,82801,NOT AVAILABLE,(307) 672-3786
